Gene,Score
RTP2,-0.051273
ARHGAP26,-0.25626
C4orf45,-0.26619
BRPF1,-0.27865
JUN,-0.37464
TTBK2,-0.10719
ADCY5,-0.41359
SUPT5H,-0.58234
TARS,-0.12576
FLVCR2,0.11643
LRIG1,-0.027485
COL4A3BP,-0.42021
MAGT1,-0.36708
PRRC2B,-0.34536
HDAC3,-0.40084
HLA-DRA,-0.3686
TAF5,-0.37649
CCP110,-0.27755
COG4,-0.46049
DTNBP1,-0.36785
ID3,-0.34349
DDX60L,-0.12444
TMEM60,-0.44919
ICAM2,0.2347
CYP27A1,-0.27672
SPCS3,-0.097781
EXOC5,-0.30389
LHFPL2,-0.30266
CD36,-0.16683
PCDHB7,-0.42604
DAD1,-0.41773
MYF5,-0.23222
ASAH2,-0.22116
XRCC5,-0.3674
ZNF536,-0.37609
PPCS,-0.30742
NSMCE2,-0.31578
RRAS2,-0.28301
C18orf25,-0.24194
MOB4,-0.44916
COG3,-0.14362
CUL1,-0.30038
RAET1L,0.024197
ALMS1,-0.46463
ACADS,-0.3439
KDM5D,-0.31894
COMMD8,-0.47503
HLA-G,-0.21876
BAG6,-0.44076
TMED8,-0.25399
ZMYND11,-0.27676
OR56B4,-0.22244
KLHL20,-0.3338
HNRNPL,-0.2773
MALT1,-0.30019
DDA1,-0.35533
CATSPER4,-0.21778
MAPK1,-0.14821
RGS18,-0.37622
COPS9,-0.33071
ZNF571,-0.21742
ARHGAP27,-0.0057079
GLRA2,-0.33175
SOSTDC1,-0.30771
MALRD1,-0.16909
CDV3,-0.31593
C15orf54,-0.31883
KCNC4,-0.49077
HSD17B13,-0.09812
EXOC2,-0.27924
SENP8,-0.36792
OR1B1,-0.29015
ZNF570,-0.041193
GDF6,-0.26809
SSH1,-0.46795
ATG4A,-0.13469
MEAF6,-0.20444
FAM71C,-0.32849
CCDC81,-0.4078
PMFBP1,-0.091894
VASH1,-0.12053
PAX5,-0.29648
MYO1F,-0.12746
CACNA1F,-0.21627
TMEM55A,-0.48343
CALCOCO1,-0.29231
LY6L,-0.23067
LIMS2,-0.16184
ECHDC3,0.076178
SPAG6,-0.19942
DNTTIP1,-0.31048
HLA-DRB1,-0.098288
UROD,-0.23651
COMMD9,-0.26627
VWA5A,-0.29319
DNAJC8,-0.22051
TARDBP,-0.45886
TATDN3,-0.34075
IFNGR1,-0.27195
PBX2,-0.46826
DPP9-AS1,-0.24502
OSER1,-0.2443
SEH1L,-0.29384
ARMCX2,-0.26333
SZRD1,-0.25871
FGFR1OP,-0.16012
KLK4,-0.3077
PRAMEF11,-0.24383
C16orf90,-0.32739
TCEA1,-0.31732
MAGEA12,-0.24327
MTRNR2L3,-0.27287
IL22RA2,-0.17134
ASXL2,-0.33359
KRT6A,-0.20256
OR5M11,-0.31241
RPS6KB1,0.13356
COL28A1,-0.13768
BCAT2,-0.0060126
MTOR,-0.009602
IGH,-0.14336
CCR6,-0.36818
DNAAF4,-0.1404
NBPF9,-0.24838
CREBBP,-0.25859
SERPINF2,-0.348
SKAP1,-0.20245
CXCL13,-0.15489
RELA,-0.27981
FRMPD3,-0.2723
RBMY1F,-0.2312
TPMT,-0.34236
OR4C12,-0.19202
RABGAP1,-0.41328
OR14A16,-0.12285
EXOC4,-0.24732
KCNK6,-0.093122
NOX1,-0.21504
FOXK1,-0.39828
OSBP,-0.34316
OR56A4,-0.27432
LANCL2,-0.34733
CTAGE8,-0.37264
CAVIN4,-0.30268
C4orf46,-0.027837
ARPP21,-0.16354
MTA3,-0.13607
ANKRD44,-0.28173
RHAG,-0.36975
CA1,-0.20014
RORB,-0.26813
COL6A6,-0.23361
LOC100289561,-0.10737
CXorf36,-0.15606
ZSCAN4,-0.36816
SP7,-0.20177
OR2T2,-0.058571
TAF3,-0.1561
PROP1,-0.28425
GTF3C2,-0.30493
PIP4K2A,-0.21077
TAF7,-0.36679
PLSCR5,-0.032954
UBE2NL,-0.32208
TRIM48,-0.31555
CD101,-0.34356
BAZ2B,-0.068601
OR5B12,-0.34068
BTAF1,-0.23622
STAT4,-0.28519
MON2,-0.28653
RPL41,-0.31928
PCYOX1,-0.055446
BEND2,-0.60901
TIMD4,-0.28264
AP1AR,-0.18928
SFXN3,-0.16559
DNAJC5B,0.091848
SPRR2G,-0.17441
CASP8,-0.29492
GRIP1,-0.21694
MLLT3,-0.34495
CDSN,-0.11663
SLCO1C1,-0.27823
NFIC,-0.36398
REL,-0.27319
ALKBH8,0.027411
COG8,-0.08657
B4GAT1,0.0025077
CYP4B1,-0.26116
OR2M3,-0.23497
OR13C3,-0.2764
TRIM51,-0.24654
C22orf46,-0.20624
FAT2,-0.16846
CNIH4,-0.32249
C14orf93,-0.25243
FXYD5,-0.32365
C6,-0.34328
LYZL4,-0.33949
IFRD1,-0.28558
TAF9B,-0.028017
FAM76A,-0.30972
ZMYND8,-0.28794
C22orf29,-0.31412
WDR11,-0.24311
SRGN,0.036162
KIF2B,-0.047986
FAM91A1,-0.25184
UNG,-0.28657
PDE5A,-0.24619
GNRH1,-0.27551
KRT33B,-0.115
TNXB,-0.29356
PSD,-0.15769
LIN37,-0.38505
HLA-B,-0.0211
VPS26A,-0.29911
CAPZA1,-0.17333
CEACAM3,0.097253
DSCR3,-0.24467
TM2D1,-0.28579
SOAT1,-0.27782
CD164L2,-0.32354
CD164,-0.2667
PSG5,0.026114
EGR2,-0.27339
ZNF844,-0.28793
IGFL2,0.059653
HIPK1,-0.13896
PPP3R1,-0.26078
ROR1,-0.31728
SLC6A12,-0.11906
CEACAM21,-0.11392
LHX9,-0.19743
BARHL2,-0.27071
SLC6A18,-0.20739
PRTN3,-0.13656
C1orf189,-0.18494
PHLDB2,-0.034412
SYT15,-0.31488
CDK14,-0.1313
USP27X,-0.27887
SETD6,-0.18678
AEBP2,-0.212
ORMDL2,-0.21019
RNF146,-0.33644
SLC7A11,0.16293
ZDHHC17,-0.27345
DCAF16,-0.23096
ELF1,-0.28432
HMGB3,-0.13435
SEMA4F,-0.31447
TPO,-0.15022
RAB10,-0.29118
TGFBR1,0.05742
MTMR3,-0.10977
TWIST1,-0.26496
ZBTB11,0.023652
NEDD4,0.04178
ZBTB20,-0.27773
BACE1,-0.096138
TADA1,-0.11665
FEZF2,-0.27068
PJA2,-0.275
IL20RB,-0.21676
NKX6-1,-0.0089643
PXDNL,-0.14751
FOXO3,-0.21137
PPP1R1C,-0.059086
RNF220,-0.10547
KCNQ1,0.0053955
DOCK2,-0.44988
CARD11,-0.46511
MROH9,-0.25474
FAN1,0.075979
SERPINA10,-0.30268
HNF4A,-0.33649
BEX2,-0.14274
AWAT2,-0.20968
SIPA1L1,-0.068581
PSORS1C1,-0.21165
MMP24,-0.15105
TM4SF5,-0.27104
MED13L,0.067397
KCNMB2,-0.20584
LZTS2,-0.29999
IL1R2,-0.015483
MFSD8,-0.15928
BNIPL,-0.1271
TMUB1,-0.19945
MANBAL,-0.028337
OR2G3,-0.31983
PGGT1B,-0.17298
ASAH1,0.069446
DPP3,-0.20679
KCTD21,-0.11178
TFAP2A,-0.21745
TSKU,-0.28888
CHAT,-0.092071
C9orf24,-0.30024
NLRC3,-0.26446
HIST1H2BA,-0.24238
BIN2,-0.036423
EXOC7,-0.2277
C17orf102,-0.12845
TEX33,-0.17647
DRAP1,-0.13114
OR2K2,-0.34319
CASP4,-0.33481
ZNF597,-0.24302
SPTY2D1,-0.24267
UNC50,-0.18481
STXBP4,-0.30153
SPOCD1,-0.30129
ENPEP,-0.21151
KCNC1,-0.041776
CNTF,0.029825
PKNOX1,-0.37161
MT1B,-0.27799
KRT14,-0.23643
SH2D3A,-0.23417
SPTSSA,-0.27538
C4orf22,-0.138
ARHGAP6,-0.30006
PPP3CB,-0.30279
CCDC187,-0.3057
IL36B,-0.085508
NOS1AP,-0.021334
ZNF266,-0.019321
TARM1,-0.23165
STK10,-0.32161
SP2,-0.28023
EEPD1,-0.097169
NCSTN,-0.16485
RPL22,-0.2338
IL1RL1,-0.15888
ZSWIM8,-0.16823
CLCNKB,-0.20398
DHDDS,-0.25979
COG6,-0.41607
NR5A1,-0.2842
LINGO3,-0.33036
ATP6V1E2,-0.72338
KRT7,-0.099414
TRIM26,-0.25821
CRACR2B,0.033978
XPOT,-0.23325
MCIDAS,-0.34723
HAP1,-0.18194
PRR9,-0.20238
PRPH,-0.04481
MTRF1L,-0.273
CCDC170,-0.2617
ETF1,-0.44534
DEFA3,-0.20178
TRIM43B,-0.023441
FGFR2,0.0029445
SCCPDH,-0.25497
ENY2,-0.29314
MFHAS1,-0.35215
GLI1,-0.33916
DOK4,0.053461
SPCS2,-0.13653
TXNDC11,-0.23308
EMP3,-0.4244
CCDC8,-0.11018
MROH2B,-0.18787
CCER1,-0.2546
ADGRL2,-0.17522
BLID,-0.084489
ZNF721,0.03394
PRSS36,-0.16248
SLC13A1,-0.18204
ZNF484,-0.23984
DBX1,-0.19729
OR2G2,-0.16727
NEDD4L,-0.024211
SPINK9,-0.075319
PCED1B,0.051397
KRTAP9-7,-0.29719
LY6G6D,-0.19087
TBL1XR1,-0.03266
ZNF768,-0.26646
NME1,-0.22149
POU3F1,-0.06838
PRRC1,-0.17447
OR2T12,-0.11313
ELMO1,-0.065769
RIN1,-0.095407
TMEM232,-0.25783
PRAMEF2,-0.25444
MS4A10,0.052807
HIST1H4C,-0.21326
KCNN4,-0.236
KIAA1551,-0.16282
LGI2,-0.36755
DAPP1,-0.35103
ZC3H4,-0.30501
C3orf79,-0.13283
MYLK4,-0.034604
ADGRE2,-0.25676
CLIP3,-0.23849
EXOC1,-0.26915
INSL3,-0.18565
TM2D2,-0.12678
TAGAP,-0.26067
PLBD2,-0.33847
SLC6A13,0.076024
OR8B2,-0.2599
MICALL2,-0.015114
KCNK12,-0.26745
PAX2,0.049774
ITGB2,-0.2273
XPNPEP1,-0.18864
XRRA1,-0.0025315
FLT1,-0.26031
SCGB1A1,-0.064613
MTFR1,-0.21366
PLAC4,-0.21312
HRG,-0.27464
SIRPB2,-0.22351
EIF4G3,-0.32005
MTRNR2L8,-0.18623
VWA5B1,-0.25886
GRIK1,0.004157
CXorf65,-0.21833
ZFAND1,-0.085305
GDF9,-0.29656
TEX13B,-0.33822
MON1B,-0.27197
LOXL1,-0.30944
CORIN,-0.25366
PHF6,-0.30246
TP63,-0.26222
SAMSN1,-0.16636
EPHA3,0.013798
C7orf71,0.10225
GIMAP4,-0.22267
PNPLA1,-0.21606
CCR1,-0.11075
LGSN,-0.24197
NKX3-2,-0.12874
SCN4A,-0.20042
ACE,-0.25939
NOXRED1,-0.2908
GRTP1,-0.1662
GLMP,-0.32282
MAP2K6,-0.02884
NT5C3B,0.11957
SLC40A1,-0.29835
CACNA2D1,-0.20483
PRKDC,-0.195
CAPN14,-0.098423
AMIGO1,-0.24922
PTGFR,-0.24057
ABHD4,-0.14709
NSUN4,-0.072201
ELP3,-0.25413
NFATC2,-0.28019
OLAH,-0.30178
CLASP2,-0.23101
C1QC,-0.21502
ATXN7L3,-0.23553
PRAMEF8,-0.12655
PDIK1L,-0.0028968
OR2T3,-0.21937
NCCRP1,-0.204
EXOC6B,-0.093277
PLA2G4D,0.066472
UBE2Q2L,0.11947
MTRNR2L2,-0.012161
GABARAPL1,-0.23303
CDH9,-0.24896
CHRM1,-0.038634
INSIG2,-0.31965
ADAMTS16,-0.21466
GOT1L1,-0.23117
ADGRV1,-0.11997
POFUT2,-0.24447
ZNF699,-0.069019
GOSR1,-0.1557
OFCC1,-0.27534
KLHL18,-0.19166
ZIC1,-0.12323
UBL4B,-0.23086
TAS2R19,-0.26931
ZNF385D,-0.31846
UBR3,-0.24405
OR6B3,-0.12723
RAMP2,-0.16268
ZGLP1,-0.27036
POU2F2,-0.11643
RASSF2,0.038087
RIPK3,-0.13572
ADAMTS8,-0.32872
RAB40A,0.065662
ADGRG4,-0.3716
MBD2,-0.40736
GOLGA8M,-0.35418
MPHOSPH8,-0.038049
MED24,-0.26577
IL16,-0.11945
THRA,-0.093811
KRT6B,-0.13162
GRIN2B,-0.30876
INTS13,0.055882
PRRX1,-0.065811
PPARGC1B,0.08441
CNBD2,-0.24139
FAM120A,-0.29569
PEX5,-0.29105
METTL26,-0.27095
PLA2G10,-0.086698
RAD9B,-0.30626
JCHAIN,-0.24852
DYNC2LI1,-0.3506
TAF15,-0.23394
RNF32,-0.27541
HIST1H1B,-0.20214
TTC31,-0.24004
GTF2IRD1,-0.10837
SLC3A2,0.012882
SLC38A4,-0.31136
HES1,-0.17974
EEF1A2,-0.40089
FGD2,-0.11551
C16orf92,0.05828
ARL4D,-0.25454
MAP3K10,-0.048459
FBXW7,-0.27135
FBP2,-0.21289
PDS5B,-0.096688
GPR68,0.055277
KALRN,-0.27192
SLC26A9,-0.15711
PDK3,-0.29079
LOC389895,-0.17653
RAB11A,-0.27344
CLCA2,-0.26823
SRP9,0.03164
SLC15A1,-0.33204
ALG12,-0.30051
SDF4,-0.31451
OR14J1,-0.27017
PCDH7,-0.11931
HTN1,-0.15528
GSPT1,-0.15325
IRF6,-0.033106
OR11H6,-0.14663
CCDC112,-0.10996
ISG20,0.026464
TMEM249,-0.24957
NAALAD2,-0.058451
WRB,-0.27775
XPR1,-0.17208
TMCO1,-0.24537
BBS12,-0.17415
BAIAP2L1,0.10835
DNMT1,-0.0053239
MATN2,-0.19667
GLYATL2,-0.11512
FAM193A,0.026784
SYNGR1,-0.18742
PRPS1L1,-0.18802
COL23A1,-0.082336
LRRC15,-0.26537
GPR21,-0.055728
HLTF,-0.26648
OR10S1,-0.1051
DMRT2,-0.26537
TBX19,-0.27287
NPHS1,-0.22115
URGCP,-0.15318
LSMEM2,-0.13499
SPRR2B,-0.26471
EFCAB14,-0.19313
MLXIP,-0.024584
PSMA8,-0.12489
RNF165,-0.27068
ZNF205,-0.0094473
PPP2R5C,-0.024252
PRR30,-0.28461
C16orf97,-0.23357
ZFP64,-0.20732
KRTAP10-12,-0.20971
LCE3E,-0.18007
FAM46D,-0.15192
NSD2,-0.15009
C1orf174,-0.30274
AXIN2,-0.26523
PEX13,-0.13945
SPEN,-0.24173
HABP4,-0.17563
CRH,-0.015153
ZNF639,-0.074401
PATZ1,-0.25165
NR5A2,-0.28872
INPP1,0.17646
OR10X1,-0.091986
MOGAT3,-0.069619
DEFB133,0.043444
PGLYRP4,-0.087075
OR1L4,-0.064991
HOXC11,-0.13589
AR,-0.1477
TSPAN6,-0.11654
CD300LF,-0.19533
NACAD,-0.099245
GRIA3,-0.25208
CNDP2,0.12791
CCDC148,-0.15441
TEX48,-0.32054
RHOA,-0.27356
OR2M4,-0.077741
C10orf90,-0.0509
RPL39L,-0.036532
UBE2M,-0.25676
TMEM161A,-0.23954
CACNG2,-0.24266
TSPY2,-0.2255
CFHR1,-0.27411
ARV1,0.11153
EXOC3,-0.08345
OLIG3,-0.2376
PLAT,-0.25057
TRMT10A,-0.21943
CYP11B2,0.06177
FADS1,-0.15877
ZXDB,-0.22122
ECM1,-0.12315
KRT33A,-0.067905
YY2,-0.22262
HMGXB3,-0.12808
ACTR1A,-0.16726
ZNF775,-0.13416
THRSP,-0.23209
GORASP2,-0.23611
MYH7B,-0.088969
HIST1H2AK,-0.1034
IFRD2,-0.31822
OSBPL11,-0.25291
TBC1D15,-0.17949
SLIRP,-0.30551
ZC4H2,-0.27564
CARTPT,-0.27188
EHD4,-0.013666
GMPPA,-0.27026
OR52D1,-0.28613
LCE3C,-0.19558
LOC283357,-0.25347
SPRED1,-0.10071
IQCF2,-0.32564
SCG3,-0.027952
HAO2,-0.24425
PAN2,-0.25378
UQCRHL,-0.22843
RAPGEF6,-0.41656
PSAPL1,-0.21658
MYNN,-0.17755
MRGPRX2,-0.10954
ACBD3,-0.20365
RNF213,-0.14794
IRGC,-0.0078297
EML2,-0.070913
ADGRL4,-0.035615
C9orf139,-0.0032932
IER5,-0.23856
TSSC1,-0.19172
TMEM164,-0.22433
COG5,-0.16575
AADACL2,-0.23201
NRROS,-0.051785
MUM1L1,-0.20434
CPAMD8,-0.16175
ATF1,-0.26074
UBQLN2,-0.24001
CDRT15L2,-0.19873
SLC14A2,-0.21606
LEMD1,-0.13622
OR1S2,-0.21514
ZNF420,-0.21372
JOSD2,-0.25152
POLH,-0.20395
OR5B17,-0.2097
PITX1,0.034035
PREP,-0.19052
OR4S1,-0.2618
CREB3L2,-0.25681
CLRN3,-0.14245
ADH7,-0.047325
IWS1,-0.17362
PROKR1,-0.075679
SSX5,-0.2542
PNPLA2,-0.25697
MRAP2,-0.18008
RAX2,-0.25634
FAM26D,-0.042429
KIAA0930,-0.2114
MUC2,-0.11194
TMEM191C,-0.1811
ARTN,-0.25411
SLC35A1,-0.094333
BLOC1S1,-0.12475
KCNE4,-0.20235
PVRIG,-0.12761
ASCC2,-0.10779
TEX11,-0.044056
KIAA0391,0.070417
SERPIND1,-0.14473
HIST4H4,-0.17575
SRPRB,-0.21921
SPDYC,-0.16869
NLRX1,-0.24699
ABCA6,-0.16603
KRTAP4-4,-0.21543
IFI35,-0.24439
USP11,-0.22238
LCN10,0.083978
HNRNPCL4,-0.23862
ASPA,-0.21605
HAND1,-0.031112
RXFP4,-0.16757
FGF11,-0.21586
BTBD7,-0.19862
API5,0.10752
RAX,-0.242
PCDHA12,-0.08624
IYD,-0.27241
MYO1G,-0.17628
NRBF2,0.16746
SLC7A3,-0.10663
POU3F4,-0.13485
ZNF474,-0.22223
M1AP,-0.1747
AP3S2,-0.0087519
LOC643936,-0.092911
GOLGA6L22,-0.55306
LOC650293,-0.19993
DOPEY2,-0.15644
TFF3,-0.22188
MED16,-0.309
ZBTB48,-0.16754
DAAM1,-0.14748
CHMP7,-0.27335
RHOH,-0.21886
SYNCRIP,-0.11266
GPATCH11,-0.15295
ZFP2,0.017009
SNX24,-0.18397
THBD,-0.23221
ERP29,-0.2279
ZNF638,-0.25088
FSHR,-0.072746
COMMD2,-0.18825
AAED1,-0.090297
BRWD1,-0.44706
UPK3A,-0.29187
KAT6A,0.0065223
LOC283485,-0.24427
TIMM23,-0.24437
C10orf62,-0.20646
SIDT1,-0.18747
HCN1,-0.20169
MYO7A,-0.0044557
FDXACB1,0.16977
CGB5,-0.26486
MAP3K7,-0.19219
FMC1,-0.13456
TNFAIP6,0.17305
NUP153,-0.15484
KLHL6,-0.20514
SERTAD4,0.015718
ARHGAP44,-0.24694
C11orf68,-0.12846
ANO1,-0.25452
ISG15,-0.22754
KLHL10,-0.08564
RPA4,-0.091339
IMPG1,-0.24287
ZXDC,-0.047414
KIAA0754,-0.17078
HBE1,-0.25555
PRKCQ,-0.27695
ADAMTSL3,-0.10916
SLCO1B1,-0.29363
ALG6,-0.11393
ACSM6,-0.15642
OR1K1,-0.19557
TXNIP,-0.19952
ODF3L2,-0.1927
TUBAL3,-0.1229
SOX6,-0.082708
SLC25A13,-0.26355
DAPL1,-0.21454
BEND7,-0.16893
DPP4,0.30372
SLC35A2,-0.20907
RFFL,-0.18736
KCNA2,-0.33535
RUNDC1,-0.12683
KEL,-0.19093
OR8U1,0.042724
SLC22A10,-0.25381
HSPBP1,-0.12399
RAB21,-0.10964
AP1G2,0.065869
TMED7,-0.27279
FBRSL1,-0.20488
CRYL1,-0.2221
MPP1,-0.17567
PPP2R3C,-0.18817
AHSG,-0.083725
MEN1,-0.27405
SLC31A2,-0.17626
ALPP,-0.14761
SELENOO,-0.18567
ZP4,-0.12818
STAT3,-0.27857
MIIP,-0.045538
ARRB1,-0.34806
CCDC17,0.019099
LIN7A,-0.27533
TAS2R3,-0.21831
C20orf141,-0.17758
NAA20,-0.19569
NME9,-0.19897
CHD3,0.01808
OR4K15,-0.17949
COMMD3,-0.16341
NSF,-0.050319
IMMP2L,0.079888
ARHGEF6,-0.23752
NYAP1,-0.36529
SLC26A7,-0.16028
GPA33,-0.22957
DPM3,-0.033707
LGALS13,-0.14996
NRXN2,-0.22406
USP13,-0.22222
SPHAR,-0.20619
SLC4A10,-0.20826
PXMP4,0.033642
TSNAX,-0.031728
AMIGO3,-0.23114
POSTN,0.059954
XKRX,-0.041315
PRR27,-0.13365
HLA-F,-0.24257
UBE2E2,-0.091099
SYTL3,-0.20443
PPP1R14D,-0.19032
LTBP4,-0.15502
DHX16,-0.079495
PRR5,-0.18957
PTK2B,0.012752
TMPPE,-0.24321
RIMKLB,0.009802
LSP1,-0.27757
TBX22,-0.0056946
HECTD2,0.0060853
OR2M2,0.13175
FAM24A,-0.24846
DDOST,-0.19635
LPAR3,-0.18981
TCF7L2,-0.23975
BICD1,-0.2098
TG,-0.18867
SPATA2L,-0.16757
RPE65,-0.15941
OCM2,0.17979
NOA1,0.12133
NPFFR2,-0.15683
PAPOLG,-0.076895
PDCD1,-0.23117
BRAF,-0.23471
NOMO2,-0.14486
LOC100130705,-0.2275
ACAP2,-0.2005
FOXM1,-0.2773
ADRB2,0.029012
PAFAH1B1,-0.2581
CORO2A,-0.17043
SRP54,-0.19208
MAP2K2,-0.31801
MSL1,-0.24575
MEGF10,-0.18508
CDH10,-0.27648
TIMM10B,-0.28268
TASP1,-0.093065
DDX28,-0.31192
C20orf202,-0.2542
ESCO1,0.010684
LEP,-0.13011
CEP126,-0.179
FAM168A,-0.21783
PFKM,0.11723
CERS6,-0.15147
UPP2,-0.060559
TMEM240,-0.10111
ARHGAP5,-0.041829
RYK,-0.2176
NPEPPS,-0.17755
SRRM1,-0.016557
NOVA2,-0.20257
SRRM3,-0.20455
EMCN,-0.22083
PCDHB15,-0.17465
CGN,0.074782
BPIFB6,0.05534
SPON2,0.013327
COX15,-0.15585
DPP6,0.11128
ZNF513,0.050747
RASA4B,0.21132
ZNF283,0.13561
C11orf71,-0.20589
NANOS2,-0.19956
TTC23,-0.15088
EAF2,-0.19304
TCAP,-0.16018
MXD1,0.044475
DDX60,-0.068941
NRG3,-0.2728
UPK1A,-0.22882
CNP,-0.12062
MBNL1,-0.06458
CAPNS1,-0.22028
CLU,-0.27838
CHRNA1,-0.052971
CRISP3,-0.1874
IFNAR2,-0.28369
USP24,-0.25081
MITD1,-0.26873
DHX32,-0.2421
LOC643802,-0.26123
AQP5,-0.17865
PRKAG2,0.14529
CPB2,-0.030049
GHITM,-0.17198
SIRT3,-0.11486
TREH,-0.072416
BPIFB4,-0.28335
AGTR1,0.11005
GMDS,-0.28332
FAM162B,-0.12059
TRPV1,-0.059433
PPP1CA,-0.24935
ACOX3,-0.061906
CYB5RL,-0.19589
MFAP5,-0.15327
REEP5,-0.051522
MAOA,0.087926
ATP1A2,-0.2031
FAM167B,-0.19175
RUFY4,-0.2841
SERPINB2,-0.20978
METAP1D,-0.13393
SYT8,-0.10392
OR51Q1,-0.26283
LRRC37A3,-0.11279
GNGT2,-0.2277
DLGAP4,-0.11606
TNFSF11,-0.25904
TSLP,-0.23492
SSX4B,-0.27604
GADD45GIP1,-0.036483
HRCT1,-0.12814
DHFR,-0.17406
RMND5B,-0.26554
IGIP,0.18071
COL20A1,0.020773
OR2T33,-0.16426
TRO,-0.20109
STX11,-0.22154
A2M,-0.14317
CLCC1,-0.13832
NIPAL3,-0.19046
DDX39A,0.069937
ANKRD54,-0.011278
EVI2B,-0.082743
OR5AC2,-0.17656
AMDHD1,-0.25778
GRXCR1,-0.22772
HEATR9,-0.11612
HNRNPA2B1,-0.25893
KRTAP1-1,-0.25036
EXTL2,-0.0226
ZNF304,0.023639
NOP9,0.027347
GARS,0.0020473
SULT2A1,-0.045504
OR10V1,-0.24932
ATP6V1G3,-0.118
SVOPL,-0.006426
NFU1,-0.20764
PRMT2,-0.27007
TRIM2,-0.13227
TYRP1,-0.13746
HSD11B1L,-0.25506
LYPD1,-0.27145
PSENEN,-0.28183
KPNA2,-0.075847
PP2D1,-0.12068
CSTL1,-0.20055
SUPT16H,-0.11126
GPRC6A,-0.31047
CDC34,-0.25989
MOB1A,-0.01396
ZNF19,-0.19606
MROH7,0.036246
EBLN1,-0.2278
B3GNT3,-0.2558
ZNF491,-0.17236
SP3,-0.17675
EML1,0.095571
OR10H2,-0.086059
OR5D16,-0.19437
RAB13,-0.032381
GRAMD4,-0.26179
GSTT2,-0.22642
KRTAP5-3,-0.1122
ADGRA1,-0.18347
AVP,-0.2607
PCYT2,-0.32403
SPRN,-0.28814
SPON1,-0.062992
CCL21,-0.14438
LRRC8D,-0.25561
FAM126A,-0.18501
CLDN12,-0.23509
UFSP2,-0.26526
GDPD5,-0.13823
KCNJ8,-0.16294
NCAPD3,-0.19187
IFT22,0.0036903
TPGS1,-0.20305
NAPRT,-0.048772
RARG,-0.0010116
SLC25A45,-0.091017
LCE1B,0.02625
GFRA2,-0.2546
ASB8,-0.21338
ACTR3C,-0.061092
MCTP2,-0.29347
HPX,-0.21481
ELF5,-0.22716
PTGER2,-0.083564
CDX4,0.029559
RTN4,-0.16248
C16orf52,-0.19484
PRPSAP1,0.011555
PEX2,0.19507
ROPN1B,0.074491
SLC35B3,-0.25199
ZNF438,-0.29469
LOC149373,-0.22563
NTS,-0.26639
FAM71F1,-0.19946
LINC02312,-0.069287
SLC2A7,0.1391
ACVR1B,-0.21815
SGK494,-0.18012
FAM198B,-0.17964
IL31RA,-0.23697
ELP5,-0.22393
PYGO1,-0.035138
KIAA1257,-0.21126
CSNK2A1,-0.20368
ELK4,0.095883
SPDYE16,0.064194
ADAM18,-0.028411
KLRC4,-0.077032
ACSM2A,0.097577
TBXAS1,0.10804
OR51B2,-0.25823
CXCL14,-0.21517
RAB38,0.2742
CAP2,-0.15905
KRTAP4-3,0.081807
OR1J1,-0.18122
ANKRD30B,0.073582
AXDND1,-0.045743
TAF1C,0.1878
ANKDD1B,0.087446
GAS6,-0.060259
ACBD5,-0.07155
ACMSD,-0.099136
WNT7A,-0.15859
WDR20,-0.03795
