Gene,Score
ABTB2,-0.15948
ABTB3,0.33209
ACAA1,0.27926
ACAA2,-0.0323105
ACACA,0.035085
ACACB,0.018345
ACAD10,0.037576
ACAD11,0.184825
ACAD8,0.02707
ACAD9,0.0464
ACADL,0.147555
ACADM,-0.17399
ACADS,0.243119
ACADSB,0.0369245
ACADVL,0.0484775
ACAN,0.0167855
ACAP1,-0.099134
ACAP2,-0.01833
ACAP3,0.099943
ACBD3,-0.304225
ACBD4,-0.1798075
ACBD5,-0.110143
ACBD6,0.31713
ACBD7,-0.063927
ACCS,-0.068015
ACCSL,0.0770095
ACD,0.10357855
ACE,0.02337335
ACE2,-0.19434
ACER1,-0.0112775
ACER2,0.29345
ACER3,-0.026771
ACHE,-0.2169095
ACIN1,0.01478
ACKR1,-0.247175
ACKR2,0.008047
ACKR3,-0.305815
ACKR4,0.036659
ACLY,-0.074795
ACMSD,0.166825
ACO1,0.121875
ACO2,0.07761
ACOD1,0.001799
ACOT1,-0.033745
ACOT11,-0.052585
ACOT12,0.340345
ACOT13,-0.11039
ACOT2,-0.528565
ACOT4,-0.0345435
ACOT6,-0.2743505
ACOT7,0.15833
ACOT8,0.18917
ACOT9,0.32388
ACOX1,0.279975
ACOX2,0.103075
ACOX3,-0.122686
ACOXL,0.049545
ACP2,-0.1399035
ACP3,0.0696435
ACP4,-0.45419
ACP5,-0.1389645
ACP6,0.0276705
ACR,0.16773
ACRBP,-0.1079005
ACRV1,-0.03706
ACSBG1,0.16958085
ACSBG2,-0.007291
ACSF2,0.067564
ACSF3,-0.09650456
ACSL1,-0.366735
ACSL3,0.00419
ACSL4,0.10475
ACSL5,0.00701
ACSL6,0.36804
ACSM1,0.0390785
ACSM2A,0.240275
ACSM2B,-0.17391
ACSM3,-0.020516
ACSM4,0.162246
ACSM5,-0.302985
ACSM6,0.122645
ACSS1,0.112345
ACSS2,0.1876305
ACSS3,-0.18079
ACTA1,-0.366615
ACTA2,0.0549595
ACTB,-0.045123
ACTBL2,-0.095286
ACTC1,-0.0331955
ACTG1,-0.42773
ACTG2,0.0082855
ACTL10,0.311954
ACTL6A,0.38488
ACTL6B,-0.0458205
ACTL7A,0.1904615
ACTL7B,0.117475
ACTL8,-0.185231
ACTL9,0.169979
ACTMAP,0.1080815
ACTN1,-0.10181
ACTN2,0.161345
ACTN3,-0.063565
ACTN4,-0.2274335
ACTR10,0.0606325
ACTR1A,-0.1421805
ACTR1B,-0.136703
ACTR2,-0.2024525
ACTR3,0.43675
ACTR3B,-0.119345
ACTR3C,-0.1588905
ACTR5,0.0994005
ACTR6,-0.1305915
ACTR8,-0.0806075
ACTRT1,0.15118697
ACTRT2,0.137834
ACTRT3,0.37401
ACVR1,0.2385755
ACVR1B,0.054144
ACVR1C,0.100285
ACVR2A,0.005555
ACVR2B,-0.28111
ACVRL1,-0.175916
ACY1,0.272725
ACY3,0.01659
ACYP1,-0.222635
ACYP2,-0.0051655
ADA,-0.1153785
ADAD1,0.001085
ADAD2,0.2265675
ADAL,0.0475425
ADAM10,0.1996495
ADAM11,0.0403525
ADAM12,-0.34188
ADAM15,0.1063585
ADAM17,0.0999338
ADAM18,-0.2221935
ADAM19,0.069565
ADAM2,-0.27849
ADAM20,-0.031215
ADAM21,-0.34322
ADAM22,0.185145
ADAM28,0.12865825
ADAM29,-0.29965
ADAM30,-0.0431155
ADAM32,0.008454
ADAM33,-0.076093
ADAM7,0.216175
ADAM8,-0.0760505
ADAM9,-0.0676585
ADAMDEC1,-0.01053
ADAMTS1,0.0348305
ADAMTS10,-0.09288
ADAMTS12,-0.16889675
ADAMTS13,-0.23017
ADAMTS14,-0.11258
ADAMTS15,0.38198
ADAMTS16,0.0866165
ADAMTS17,-0.28955
ADAMTS18,0.02598545
ADAMTS19,0.10447
ADAMTS2,0.1531415
ADAMTS20,0.09576
ADAMTS3,-0.050376
ADAMTS4,0.269145
ADAMTS5,0.201595
ADAMTS6,0.0587327
ADAMTS7,0.0869135
ADAMTS8,0.0945
ADAMTS9,-0.165479
ADAMTSL1,0.199162
ADAMTSL2,0.09149565
ADAMTSL3,0.264163
ADAMTSL4,-0.015665
ADAMTSL5,0.258135
ADAP1,0.1339105
ADAP2,0.082606
ADAR,0.3605
ADARB1,-0.303015
ADARB2,-0.1234845
ADAT1,-0.1896
ADAT2,0.07978
ADCK1,-0.14782
ADCK2,0.1412815
ADCK5,0.1181125
ADCY1,-0.401945
ADCY10,-0.0819985
ADCY2,0.139895
ADCY4,-0.246545
ADCY5,-0.24885
ADCY6,-0.0415315
ADCY7,-0.042
ADCY8,0.05795
ADCY9,-0.0342785
ADCYAP1,0.238419
ADCYAP1R1,-0.0664
ADD1,0.352565
ADD2,-0.100425
ADD3,-0.0114435
ADGB,0.0934595
ADGRA1,0.00366968
ADGRA2,-0.062875
ADGRA3,-0.100684
ADGRB1,0.4493115
ADGRB2,-0.40306
ADGRB3,-0.056979
ADGRD1,0.227355
ADGRD2,0.081645
ADGRE1,0.07156
ADGRE2,-0.18742
ADGRE3,-0.0437951
ADGRE5,-0.21385
ADGRF1,-0.112991
ADGRF2,0.0344069
ADGRF3,-0.30866
ADGRF4,0.236075
ADGRF5,0.173115
ADGRG1,-0.328743
ADGRG2,0.384941
ADGRG3,0.209955
ADGRG4,0.1181925
ADGRG5,0.12408
ADGRG6,-0.073664
ADGRG7,-0.061335
ADGRL1,-0.02362
ADGRL2,0.046836
ADGRL3,-0.088525
ADGRL4,-0.033115
ADGRV1,-0.183193
ADH1A,0.07067
ADH1B,-0.166465
ADH1C,0.01470745
ADH4,0.2037035
ADH5,-0.1351495
ADH6,0.029905
ADH7,0.1163925
ADHFE1,0.03778
ADI1,-0.068795
ADIG,0.18662
ADIPOQ,-0.0434305
ADIPOR1,0.2730505
ADIPOR2,-0.0410715
ADIRF,-0.141775
ADISSP,-0.1968055
ADK,-0.001179
ADM,-0.136309
ADM2,-0.031425
ADM5,0.0529385
ADNP,0.0614915
ADNP2,0.203975
ADO,-0.08572015
ADORA1,0.0979605
ADORA2A,-0.1242285
ADORA2B,0.081207
ADORA3,-0.17711875
ADPGK,0.41356
ADPRH,0.00106
ADPRHL1,0.1723125
ADPRM,-0.171285
ADPRS,0.167385
ADRA1B,0.0051125
ADRA1D,0.00215075
ADRA2A,-0.1880465
ADRA2B,-0.1400855
ADRA2C,0.002245
ADRB1,-0.21222
ADRB2,0.135205
ADRB3,-0.12466
ADRM1,0.005078
ADSL,-0.105257
ADSS1,0.078783
ADSS2,0.2270195
ADTRP,0.032
AEBP1,-0.095022
AEBP2,-0.068076
AEN,-0.07855
AFAP1,-0.0347555
AFAP1L1,-0.118775
AFAP1L2,0.0091805
AFDN,0.239675
AFF1,0.263405
AFF2,-0.2327499
AFF3,-0.0847315
AFF4,0.0923565
AFG1L,-0.132669
AFG2A,0.529575
AFG2B,0.22687945
AFG3L2,-0.00634
AFM,0.04425885
AFMID,-0.084914
AFP,-0.03827
AFTPH,-0.0682645
AGA,-0.186095
AGAP1,0.3768
AGAP11,0.040916
AGAP2,-0.124895
AGAP3,0.112747
AGAP4,-0.130708
AGAP5,0.0206335
AGAP6,-0.01768
AGAP9,-0.11504
AGBL1,0.0940565
AGBL2,-0.06727
AGBL3,0.1272805
AGBL4,-0.168295
AGBL5,-0.027884
AGER,0.017475
AGFG1,0.063005
AGFG2,0.141685
AGGF1,-0.0295215
AGK,0.00817
AGL,0.225089
AGMAT,0.16544
AGMO,-0.0333475
AGO1,-0.242395
AGO2,0.22839
AGO3,0.244735
AGO4,-0.588755
AGPAT1,0.1793165
AGPAT2,0.220305
AGPAT3,-0.0489535
AGPAT4,-0.17779
AGPAT5,-0.001595
AGPS,-0.3230745
AGR2,-0.16416
AGR3,-0.007449
AGRN,-0.236045
AGRP,-0.0887255
AGTPBP1,-0.12407
AGTR1,-0.199586
AGTR2,-0.1207385
AGTRAP,-0.06878
AGXT,0.12614875
AGXT2,-0.046615
AHCTF1,-0.196839
AHCY,0.00522
AHCYL1,0.068195
AHCYL2,-0.229645
AHDC1,-0.415205
AHI1,-0.0995025
AHNAK,0.1911115
AHNAK2,0.12114
AHR,0.51946
AHRR,0.20393
AHSA1,0.0862905
AHSA2,0.2398065
AHSG,-0.0333825
AHSP,0.0151165
AICDA,-0.028423
AIDA,-0.540955
AIF1,-0.1258245
AIF1L,-0.1394
AIFM1,0.105789
AIFM2,0.16176
AIFM3,0.041982
AIG1,-0.100638
AIM2,-0.02455
AIMP1,-0.1472
AIMP2,0.239155
AIPL1,-0.30078
AIRE,0.335135
AIRIM,0.124249
AJAP1,0.13424
AJM1,0.238675
AJUBA,0.166
AK1,-0.115001
AK2,-0.13003
AK4,-0.0216115
AK5,0.07039
AK7,-0.11115
AK8,-0.0125885
AK9,0.245975
AKAIN1,0.2206885
AKAP1,-0.32718
AKAP10,0.40428
AKAP11,-0.02436
AKAP12,-0.10952
AKAP13,-0.110246
AKAP14,-0.229765
AKAP17A,0.10561
AKAP2,-0.278355
AKAP3,-0.0594155
AKAP4,-0.209265
AKAP5,-0.39054
AKAP6,0.03315
AKAP7,0.140685
AKAP8,0.031732
AKAP8L,0.3485785
AKAP9,0.0329735
AKIP1,0.049231
AKIRIN1,-0.03838643
AKIRIN2,-0.20036
AKNA,-0.027656
AKR1A1,0.068365
AKR1B1,-0.05448385
AKR1B10,-0.20528238
AKR1B15,-0.087715
AKR1C1,0.0594665
AKR1C2,-0.03432
AKR1C3,0.1683345
AKR1C4,-0.050656
AKR1D1,-0.0958725
AKR1E2,0.147184
AKR7A2,-0.23223
AKR7A3,-0.453555
AKT1,0.217375
AKT1S1,0.06888285
AKT2,-0.03270785
AKT3,0.0273245
AKTIP,0.267215
ALAD,-0.033523
ALAS1,-0.051155
ALAS2,-0.010074
ALCAM,-0.31746
ALDH16A1,-0.0346045
ALDH18A1,-0.08127455
ALDH1A1,0.090512
ALDH1A2,-0.02898
ALDH1A3,-0.0445
ALDH1B1,0.12819485
ALDH1L1,0.12994
ALDH1L2,-0.1584545
ALDH2,-0.004357
ALDH3A1,0.37965
ALDH3A2,0.05167
ALDH3B1,-0.072474
ALDH3B2,0.02251
ALDH4A1,-0.12235
ALDH5A1,0.162
ALDH6A1,0.16171
ALDH7A1,-0.3075
ALDH8A1,0.1411255
ALDH9A1,0.03679295
ALDOA,0.037593
ALDOB,-0.27778
ALDOC,-0.369165
ALG1,-0.115625
ALG10,-0.2299445
ALG10B,0.1606045
ALG12,-0.005585
ALG13,0.143944
ALG14,-0.297255
ALG1L,-0.1423395
ALG1L2,-0.093807
ALG2,-0.090864
ALG3,-0.0415025
ALG5,-0.114005
ALG6,0.115185
ALG8,-0.038655
ALG9,0.0492035
ALK,-0.0126
ALKAL1,0.1314979
ALKAL2,0.127021
ALKBH1,-0.353115
ALKBH2,-0.191565
ALKBH3,0.26467
ALKBH4,0.0486735
ALKBH5,0.226955
ALKBH6,-0.13498
ALKBH7,0.089285
ALKBH8,-0.0364925
ALLC,0.378505
ALMS1,-0.256575
ALOX12,-0.143785
ALOX12B,0.148411
ALOX15,-0.25099
ALOX15B,0.306535
ALOX5,0.1434805
ALOX5AP,-0.142335
ALOXE3,0.202705
ALPG,-0.0839
ALPI,-0.124541
ALPK1,-0.135487
ALPK2,-0.02216
ALPK3,-0.07238175
ALPL,-0.039009
ALPP,-0.11777
ALS2,0.0223515
ALS2CL,0.1024505
ALX1,0.024445
ALX3,-0.004362
ALX4,-0.0938685
ALYREF,0.29792
AMACR,0.01711
AMBN,-0.301075
AMBP,-0.143675
AMBRA1,-0.511355
AMD1,0.0311715
AMDHD1,0.012885
AMDHD2,0.001755
AMELX,0.35056
AMELY,0.158209
AMER1,0.0466425
AMER2,0.067671
AMER3,-0.16480765
AMFR,0.05499795
AMH,0.22042
AMHR2,-0.1963837
AMIGO1,0.447615
AMIGO2,0.210578
AMIGO3,-0.13054
AMMECR1,0.0168135
AMMECR1L,0.0409375
AMN1,0.0744415
AMOT,0.103904
AMOTL1,-0.045733
AMOTL2,-0.0514845
AMPD1,0.06715
AMPD2,0.213419
AMPD3,0.068745
AMPH,0.2370865
AMT,-0.034729
AMTN,0.048785
AMY1A,-0.106381
AMY1B,-0.16756
AMY1C,-0.0522865
AMY2A,0.195197
AMY2B,-0.036929
AMZ1,0.34878
AMZ2,0.0194955
ANAPC1,0.197215
ANAPC10,-0.220925
ANAPC11,0.034334
ANAPC13,-0.206992
ANAPC15,0.30341
ANAPC16,-0.0496595
ANAPC2,-0.3543352
ANAPC4,0.137265
ANAPC5,-0.047815
ANAPC7,0.153803
ANG,-0.093385
ANGEL1,0.1893205
ANGEL2,-0.091535
ANGPT1,-0.0861305
ANGPT2,0.121905
ANGPT4,-0.08334065
ANGPTL1,-0.183586
ANGPTL2,0.0405525
ANGPTL3,-0.38654
ANGPTL4,0.1247195
ANGPTL5,-0.0446825
ANGPTL6,-0.2040935
ANGPTL7,0.2920145
ANHX,-0.0364215
ANK1,-0.243855
ANK2,0.26931
ANK3,0.039591
ANKAR,-0.163289
ANKDD1A,0.1221
ANKDD1B,-0.016911
ANKEF1,0.18564
ANKFN1,0.023705972
ANKFY1,0.1439715
ANKH,0.037209
ANKHD1,0.026791
ANKIB1,0.1677615
ANKK1,-0.23179
ANKLE1,0.0679685
ANKLE2,-0.1433065
ANKMY1,-0.011154
ANKMY2,0.19216405
ANKRA2,-0.1673325
ANKRD1,0.135881
ANKRD10,-0.007365
ANKRD11,-0.1887135
ANKRD12,0.076685
ANKRD13A,-0.266769
ANKRD13B,-0.042405
ANKRD13C,0.1753325
ANKRD13D,0.30591
ANKRD16,-0.013815
ANKRD17,0.0215595
ANKRD18A,-0.07511
ANKRD18B,-0.1092166
ANKRD2,0.0373375
ANKRD20A1,-0.016295
ANKRD20A2,-0.10308
ANKRD20A3,0.0019421
ANKRD22,0.2431275
ANKRD23,0.2269555
ANKRD24,-0.05942
ANKRD26,0.336485
ANKRD27,0.086257
ANKRD28,-0.124347
ANKRD29,0.303685
ANKRD30A,0.242751
ANKRD30B,-0.06287
ANKRD31,0.0209515
ANKRD33,-0.0436705
ANKRD33B,-0.4419835
ANKRD34A,-0.261395
ANKRD34B,0.050168
ANKRD34C,0.0893565
ANKRD35,-0.265315
ANKRD36,-0.117173
ANKRD36B,0.0218625
ANKRD36C,0.10167
ANKRD37,0.1346955
ANKRD39,-0.0035975
ANKRD40,0.029225
ANKRD42,0.166886
ANKRD44,-0.3905
ANKRD45,-0.24516
ANKRD46,0.353385
ANKRD49,-0.194535
ANKRD50,0.07929165
ANKRD52,0.327825
ANKRD53,0.229055
ANKRD54,-0.27872
ANKRD55,-0.093715
ANKRD6,-0.242983
ANKRD60,0.073371
ANKRD61,-0.063089
ANKRD62,0.096355
ANKRD63,-0.1363295
ANKRD65,0.32606
ANKRD66,0.16794
ANKRD7,0.1653905
ANKRD9,0.0591285
ANKS1A,-0.1507725
ANKS1B,0.169395
ANKS3,0.123391
ANKS4B,0.210488
ANKS6,0.08123
ANKUB1,-0.027343
ANKZF1,0.139625
ANLN,-0.0020055
ANO1,-0.20621
ANO10,0.1096305
ANO2,0.0282095
ANO3,0.04677
ANO4,0.00836
ANO5,-0.10067
ANO6,-0.051542
ANO7,-0.1436745
ANO8,-0.101028
ANO9,-0.041538
ANOS1,-0.32351
ANP32A,0.279895
ANP32B,0.0744565
ANP32C,-0.080474
ANP32D,0.204255
ANP32E,0.007915
ANPEP,-0.292475
ANTKMT,-0.321915
ANTXR1,0.066719
ANTXR2,0.0337145
ANTXRL,-0.09680665
ANXA1,-0.276655
ANXA10,-0.1764245
ANXA11,-0.121545
ANXA13,0.262093
ANXA2,0.072404
ANXA2R,-0.1978125
ANXA3,-0.1319535
ANXA4,-0.063414
ANXA5,-0.130545
ANXA6,-0.0704105
ANXA7,-0.1287115
ANXA8,0.077015
ANXA8L1,-0.0550545
ANXA9,0.313595
AOAH,-0.022311
AOC1,-0.20468025
AOC2,0.1358765
AOC3,-0.186515
AOPEP,0.07201
AOX1,-0.220805
AP1AR,0.02621
AP1B1,-0.398885
AP1G1,0.02709925
AP1G2,0.1814611
AP1M1,0.1782885
AP1M2,-0.043295
AP1S1,-0.22254
AP1S2,-0.018804241
AP1S3,0.366175
AP2A1,-0.174323
AP2A2,-0.004087
AP2B1,0.123746
AP2M1,-0.628745
AP2S1,-0.434455
AP3B1,-0.078303
AP3B2,0.0058085
AP3D1,-0.22728
AP3M1,0.0764965
AP3M2,-0.092742
AP3S1,-0.28429416
AP3S2,-0.33783
AP4B1,0.27852
AP4E1,-0.05921
AP4M1,0.063472
AP4S1,0.1057575
AP5B1,-0.03488
AP5M1,-0.25427
AP5S1,-0.022354
AP5Z1,-0.155055
APAF1,0.02591
APBA1,-0.0027645
APBA2,-0.01512
APBA3,-0.024175
APBB1,0.148231
APBB1IP,0.451395
APBB2,0.342845
APBB3,0.078093
APC,0.255524
APCDD1,-0.14913
APCDD1L,0.1069867
APCS,-0.073865
APEH,-0.0693565
APELA,-0.06737
APEX1,-0.2387525
APEX2,0.28102
APH1A,-0.00728
APH1B,-0.161055
API5,-0.058606
APIP,0.408935
APLF,-0.19917
APLN,-0.220985
APLNR,-0.179655
APLP1,0.12457
APLP2,-0.0354025
APMAP,-0.120628
APOA1,0.253024
APOA2,0.25999206
APOA4,-0.3053395
APOA5,0.11812
APOB,0.145155
APOBEC1,0.021825
APOBEC2,0.14254
APOBEC3A,0.0337495
APOBEC3B,0.180837
APOBEC3C,-0.04116235
APOBEC3D,-0.11025
APOBEC3F,0.0098015
APOBEC3G,-0.024541
APOBEC3H,-0.12632
APOBEC4,-0.031038
APOBR,-0.2329205
APOC1,-0.0470795
APOC2,-0.124525
APOC3,-0.0542935
APOC4,0.00425
APOD,-0.75916
APOE,0.20725
APOF,0.10436
APOH,0.176805
APOL1,-0.0463975
APOL2,0.166094
APOL3,-0.08334
APOL4,-0.406885
APOL5,0.135589
APOL6,-0.029385
APOLD1,0.1369725
APOM,-0.190921
APOO,0.055705
APOOL,-0.0726365
APP,0.062717
APPBP2,0.27728
APPL1,-0.26412
APRT,0.066691
APTX,-0.00331
AQP1,0.20021
AQP10,-0.018263
AQP11,-0.0742535
AQP12A,-0.08201703
AQP12B,0.1199355
AQP2,0.439135
AQP3,-0.782885
AQP4,0.064375
AQP5,0.0144855
AQP6,0.207251
AQP7,-0.04289725
AQP8,0.0062595
AQR,-0.210714
ARAF,0.201241
ARAP1,-0.030497162
ARAP2,-0.2116885
ARAP3,0.145383
ARCN1,-0.931565
AREG,0.036354
AREL1,0.069424
ARF1,0.1829285
ARF3,-0.3256035
ARF4,-0.034077
ARF5,-0.097587
ARF6,0.116315
ARFGAP2,0.071866
ARFGAP3,-0.06004275
ARFGEF1,-0.189132
ARFGEF2,-0.1468345
ARFGEF3,0.34184
ARFIP1,-0.0394345
ARFIP2,0.1551215
ARFRP1,0.0881695
ARG2,0.1468255
ARGFX,0.000245
ARGLU1,-0.017365
ARHGAP1,-0.23428
ARHGAP11A,0.0652805
ARHGAP12,0.147919
ARHGAP15,0.909495
ARHGAP17,0.11066
ARHGAP18,0.15275
ARHGAP19,0.1656865
ARHGAP20,0.077812
ARHGAP21,-0.14641576
ARHGAP22,-0.03441
ARHGAP23,-0.76444
ARHGAP24,0.016674
ARHGAP25,-0.0240455
ARHGAP26,-0.04516
ARHGAP27,-0.02249
ARHGAP28,0.001455
ARHGAP29,-0.0442675
ARHGAP30,0.52346
ARHGAP31,0.306925
ARHGAP32,-0.011419
ARHGAP33,0.081497
ARHGAP35,-0.06164
ARHGAP36,-0.22962
ARHGAP39,-0.370505
ARHGAP4,0.2816
ARHGAP40,-0.57291
ARHGAP42,-0.079275
ARHGAP44,-0.00804
ARHGAP45,0.440355
ARHGAP5,-0.0380065
ARHGAP6,0.108083
ARHGAP8,0.042115
ARHGAP9,0.07858
ARHGDIA,0.1153765
ARHGDIB,-0.2108525
ARHGDIG,-0.0607025
ARHGEF1,0.2216135
ARHGEF10,-0.100078
ARHGEF10L,0.0319595
ARHGEF11,0.224235
ARHGEF12,-0.13547
ARHGEF15,0.259435
ARHGEF16,-0.346455
ARHGEF17,0.23859
ARHGEF18,-0.114349
ARHGEF19,-0.1916525
ARHGEF2,-0.25718
ARHGEF25,0.0176995
ARHGEF26,0.07338
ARHGEF28,-0.032275
ARHGEF3,-0.21219
ARHGEF33,0.295465
ARHGEF35,0.322115
ARHGEF37,-0.2261835
ARHGEF38,-0.1083765
ARHGEF39,0.210715
ARHGEF4,-0.1664
ARHGEF40,0.32648
ARHGEF5,0.271575
ARHGEF6,-0.3517015
ARHGEF7,0.1359425
ARHGEF9,-0.239555
ARID1A,0.10237025
ARID1B,-0.286675
ARID2,0.366065
ARID3A,-0.382535
ARID3B,0.1193655
ARID3C,-0.1465345
ARID4A,0.033748
ARID4B,0.18251
ARID5A,-0.19287
ARID5B,-0.036055
ARIH1,0.273212
ARIH2,-0.2399395
ARIH2OS,-0.47291
ARK2C,0.038664
ARK2N,-0.36155
ARL10,-0.3048585
ARL11,0.0507689
ARL13A,0.041275
ARL13B,-0.202164
ARL14,-0.030715
ARL14EP,0.201585
ARL14EPL,-0.03096
ARL15,-0.21074985
ARL16,-0.10779935
ARL17A,-0.33692
ARL17B,0.202892
ARL2,-0.20896
ARL2BP,0.01527
ARL3,-0.023895
ARL4A,-0.04764
ARL4C,-0.09465555
ARL4D,-0.209318
ARL5A,0.014125
ARL5B,0.125494
ARL5C,0.02445
ARL6,0.156305
ARL6IP1,-0.0813615
ARL6IP4,-0.145775
ARL6IP5,0.272785
ARL6IP6,0.23896
ARL8A,-0.1330105
ARL8B,0.090521
ARL9,-0.2108205
ARMC1,0.034686
ARMC10,0.1514845
ARMC12,-0.1731285
ARMC2,-0.031315
ARMC3,-0.075389
ARMC5,-0.23421
ARMC6,-0.44809
ARMC7,0.018242
ARMC8,-0.18535
ARMC9,-0.133775
ARMCX1,0.31549
ARMCX2,-0.170015
ARMCX3,-0.33487
ARMCX4,-0.252061
ARMCX5,-0.177025
ARMCX5-GPRASP2,0.1519295
ARMCX6,-0.29393
ARMH1,0.101694
ARMH2,0.1219935
ARMH3,-0.39461
ARMH4,0.064241
ARMS2,0.145605
ARMT1,0.00802075
ARNT,-0.2746647
ARNT2,0.093512
ARPC1A,0.021215
ARPC1B,-0.046498
ARPC2,-0.266101
ARPC3,-0.23187
ARPC4,-0.012664
ARPC5,-0.1111395
ARPC5L,0.376355
ARPIN,-0.274795
ARPP19,0.0860245
ARPP21,0.03203
ARR3,0.09943
ARRB1,0.1518835
ARRB2,-0.0542685
ARRDC1,0.117627
ARRDC2,0.0557005
ARRDC3,-0.008348
ARRDC4,0.14872
ARRDC5,0.05218
ARSA,-0.014781
ARSB,0.252025
ARSD,-0.0835445
ARSF,-0.1052635
ARSG,-0.1687645
ARSH,0.1984475
ARSI,-0.108513
ARSJ,-0.153939
ARSK,-0.00769
ARSL,-0.0132585
ART1,0.29085
ART3,0.1638145
ART4,-0.0818025
ART5,-0.32193
ARTN,0.042615
ARV1,-0.1245155
ARVCF,-0.0821715
ARX,0.349285
AS3MT,-0.389655
ASAH1,0.030694
ASAH2,-0.145835
ASAH2B,0.109235
ASAP1,-0.1048875
ASAP2,-0.22946
ASAP3,-0.0747725
ASB1,0.480385
ASB10,-0.072011
ASB11,0.05527
ASB12,0.29007
ASB13,0.1359175
ASB14,-0.023818
ASB15,0.030265
ASB16,-0.074588
ASB17,-0.23336
ASB18,0.1206755
ASB2,-0.000805
ASB3,0.0093625
ASB4,0.2218595
ASB5,-0.1120325
ASB6,0.272445
ASB7,0.203355
ASB8,-0.0284745
ASB9,0.013535
ASCC1,-0.13458
ASCC2,-0.176631
ASCC3,-0.08525
ASCL1,0.127579
ASCL2,-0.212715
ASCL3,-0.145595
ASCL4,0.11569
ASCL5,-0.088332
ASF1A,0.141275
ASF1B,-0.026136
ASGR1,-0.1412105
ASGR2,0.228295
ASH1L,0.149795
ASH2L,-0.255005
ASIC1,-0.12426
ASIC2,0.1189445
ASIC3,-0.08891
ASIC4,0.354035
ASIC5,-0.037214
ASL,0.02995775
ASMT,-0.041442
ASMTL,0.277285
ASNS,0.11349
ASNSD1,0.20945
ASPA,-0.1065555
ASPDH,0.0307895
ASPG,0.0635153
ASPH,-0.007925
ASPHD1,0.0381405
ASPHD2,-0.036705
ASPM,-0.088437
ASPN,0.03541
ASPRV1,0.091886
ASPSCR1,-0.01042
ASRGL1,0.1821375
ASS1,-0.0602195
ASTE1,-0.0833015
ASTL,-0.154815
ASTN1,0.1335445
ASTN2,-0.05098
ASXL1,0.0589395
ASXL2,-0.204325
ASXL3,-0.0339839
ASZ1,-0.11200045
ATAD1,-0.180991
ATAD2,-0.030145
ATAD2B,0.38329
ATAD3A,-0.311445
ATAD3B,-0.0921355
ATAD3C,0.3393105
ATAD5,0.108992
ATAT1,-0.093154
ATCAY,-0.215355
ATE1,0.1423095
ATF3,0.222215
ATF4,0.0847735
ATF5,-0.0641565
ATF6,-0.00183
ATF6B,-0.220435
ATF7,-0.361125
ATF7IP,0.144781
ATF7IP2,-0.06029
ATG10,0.1121185
