Gene,Score
ADCY8,0.152367
ADCY9,0.15946
ADCYAP1,0.029558
ADCYAP1R1,0.085529
ADD1,0.023854
ADD2,-0.16962
ADD3,-0.22285
ADGB,0.089727
ADGRA1,-0.1045
ADGRA2,0.12848
ADGRA3,-0.013166
ADGRB1,0.14304
ADGRB2,-0.11005
ADGRB3,-0.018707
ADGRD1,0.089189
ADGRE1,0.065235
ADGRE2,-0.11666
ADGRE3,-0.14952
ADGRE5,0.15492
ADGRF1,0.074631
ADGRF2,-0.059086
ADGRF3,-0.21471
ADGRF4,0.0074903
ADGRF5,-0.13629
ADGRG1,-0.033251
ADGRG2,0.070038
ADGRG3,-0.16735
ADGRG4,-0.33628
ADGRG5,-0.073781
ADGRG6,0.061261
ADGRG7,0.22135
ADGRL1,-0.019889
ADGRL2,0.11888
ADGRL3,-0.29583
ADGRL4,0.19763
ADGRV1,-0.12518
ADH1A,0.034349
ADH1B,0.17386
ADH1C,-0.2708
ADH4,-0.0642
ADH5,0.041262
ADH6,0.089473
ADH7,0.092362
ADHFE1,0.086361
ADI1,-0.025935
ADIG,0.21225
ADIPOQ,-0.21793
ADIPOR1,0.046233
ADIPOR2,0.16567
ADIRF,0.023124
ADISSP,-0.064518
ADK,-0.081849
ADM,-0.42389
ADM2,0.11083
ADM5,-0.023654
ADNP,-0.085647
ADNP2,-0.28916
ADO,0.036127
ADORA1,-0.20068
ADORA2A,0.5005
ADORA2B,-0.018635
ADORA3,0.13269
ADPGK,0.044493
ADPRH,0.097127
ADPRHL1,0.079636
ADPRM,0.13497
ADPRS,0.23737
ADRA1B,-0.10447
ADRA1D,0.00828
ADRA2A,0.075422
ADRA2B,0.061005
ADRA2C,-0.086574
ADRB1,-0.24
ADRB2,-0.13503
ADRB3,-0.22018
ADRM1,-0.11389
ADSL,0.153
ADSS1,0.10578
ADSS2,-0.22485
ADTRP,-0.041301
AEBP1,-0.13104
AEBP2,0.40206
AEN,-0.28711
AFAP1,-0.11816
AFAP1L1,0.28688
AFAP1L2,0.099971
AFDN,0.26135
AFF1,-0.21042
AFF2,0.074452
AFF3,-0.084013
AFF4,0.034746
AFG1L,-0.021062
AFG2A,0.008622
AFG2B,0.055849
AFG3L2,0.16421
AFM,0.013318
AFMID,0.05041
AFP,0.11381
AFTPH,0.15389
AGA,-0.20271
AGAP1,-0.011414
AGAP11,0.063541
AGAP2,0.10152
AGAP3,0.07972
AGAP4,0.53246
AGAP5,-0.1069
AGAP6,0.16735
AGAP9,-0.22559
AGBL1,0.073067
AGBL2,0.052802
AGBL3,0.067947
AGBL4,0.10307
AGBL5,-0.13977
AGER,0.097695
AGFG1,0.11366
AGFG2,-0.20885
AGGF1,-0.1425
AGK,0.27119
AGL,0.073582
AGMAT,-0.017216
AGMO,-0.25736
AGO1,-0.0044336
AGO2,-0.22623
AGO3,-0.14091
AGO4,0.11421
AGPAT1,-0.053824
AGPAT2,0.23245
AGPAT3,0.21859
AGPAT4,0.27005
AGPAT5,0.12073
AGPS,-0.17528
AGR2,-0.02033
AGR3,-0.18097
AGRN,0.13622
AGRP,0.12433
AGTPBP1,0.035896
AGTR1,0.17566
AGTR2,-0.13864
AGTRAP,0.024392
AGXT,0.07351
AGXT2,-0.10086
AHCTF1,-0.01578
AHCY,-0.51385
AHCYL1,0.0058011
AHCYL2,-0.11013
AHDC1,0.17113
AHI1,0.031574
AHNAK,0.10858
AHNAK2,0.11154
AHR,-0.14646
AHRR,-0.1125
AHSA1,0.16602
AHSA2,-0.048077
AHSG,-0.20405
AHSP,-0.060206
AICDA,0.10788
AIDA,-0.1258
AIF1,0.1232
AIF1L,0.49208
AIFM1,0.065281
AIFM2,-0.003955
AIFM3,-0.012846
AIG1,0.042045
AIM2,0.18945
AIMP1,0.2486
AIMP2,0.3027
AIPL1,0.056136
AIRE,-0.29825
AIRIM,0.068732
AJAP1,-0.20794
AJM1,0.45523
AJUBA,-0.12662
AK1,0.065114
AK2,0.094763
AK4,-0.0515871
AK5,0.094135
AK7,-0.053844
AK8,-0.053937
AK9,0.17148
AKAIN1,-0.055539
AKAP1,0.18294
AKAP10,0.1024
AKAP11,0.0067757
AKAP12,-0.3982
AKAP13,-0.072067
AKAP14,0.011158
AKAP17A,0.090275
AKAP2,-0.0065935
AKAP3,0.31579
AKAP4,0.098625
AKAP5,-0.16348
AKAP6,-0.24729
AKAP7,-0.21429
AKAP8,0.084836
AKAP8L,0.14472
AKAP9,-0.16095
AKIP1,0.24965
AKIRIN1,0.27158
AKIRIN2,0.017033
AKNA,0.02226
AKNAD1,-0.038004
AKR1A1,0.085044
AKR1B1,0.24153
AKR1B10,-0.009189
AKR1B15,-0.17286
AKR1C1,0.062696
AKR1C2,0.0043626
AKR1C3,-0.37841
AKR1C4,0.076273
AKR1D1,0.090685
AKR1E2,0.29817
AKR7A2,0.12957
AKR7A3,-0.13075
AKT1,0.025894
AKT1S1,-0.33026
AKT2,0.11596
AKT3,-0.099683
AKTIP,0.13077
ALAD,0.15862
ALAS1,0.049196
ALAS2,0.003915
ALCAM,0.083216
ALDH16A1,0.050169
ALDH18A1,-0.13617
ALDH1A1,-0.067416
ALDH1A2,-0.22296
ALDH1A3,-0.030845
ALDH1B1,0.092603
ALDH1L1,0.26739
ALDH1L2,0.029282
ALDH2,0.11499
ALDH3A1,0.089795
ALDH3A2,0.025003
ALDH3B1,-0.24519
ALDH3B2,0.0051966
ALDH4A1,-0.14493
ALDH5A1,0.11805
ALDH6A1,0.10444
ALDH7A1,0.16286
ALDH8A1,0.013974
ALDH9A1,0.11997
ALDOA,-0.080391
ALDOB,0.28314
ALDOC,-0.11566
ALG1,-0.14045
ALG10,-0.13974
ALG10B,0.03964
ALG11,-0.13324
ALG12,-0.060028
ALG13,-0.013249
ALG14,0.078355
ALG1L,-0.36646
ALG1L2,-0.31829
ALG2,0.62006
ALG3,-0.41808
ALG5,-0.2771
ALG6,-0.40299
ALG8,-0.14439
ALG9,-0.054208
ALK,0.12495
ALKAL1,-0.011095
ALKAL2,0.1324
ALKBH1,0.18981
ALKBH2,-0.11096
ALKBH3,-0.05848
ALKBH4,0.011506
ALKBH5,-0.184
ALKBH6,0.1529
ALKBH7,0.13847
ALKBH8,0.10392
ALLC,0.32896
ALMS1,-0.0842
ALOX12,0.12475
ALOX12B,0.20627
ALOX15,-0.0073389
ALOX15B,0.16308
ALOX5,0.20461
ALOX5AP,0.084507
ALOXE3,0.10568
ALPG,-0.05068
ALPI,-0.17924
ALPK1,-0.11644
ALPK2,-0.18476
ALPK3,-0.044861
ALPL,-0.065049
ALPP,0.098357
ALS2,-0.30265
ALS2CL,0.043845
ALX1,-0.1291
ALX3,0.05851
ALX4,-0.058072
ALYREF,0.21313
AMACR,-0.12784
AMBN,0.031932
AMBP,0.03697
AMBRA1,-0.075031
AMD1,-0.17246
AMDHD1,0.056928
AMDHD2,0.158
AMELX,-0.042777
AMELY,0.038606
AMER1,0.1515
AMER2,-0.13216
AMER3,0.061143
AMFR,0.024962
AMH,-0.058817
AMHR2,0.08366
AMIGO1,-0.050383
AMIGO2,-0.1243
AMIGO3,0.2233
AMMECR1,0.33454
AMMECR1L,0.15812
AMN1,0.053718
AMOT,0.053564
AMOTL1,-0.13896
AMOTL2,0.18339
AMPD1,-0.15514
AMPD2,-0.30829
AMPD3,-0.36295
AMPH,-0.084829
AMT,-0.011172
AMTN,-0.012492
AMY1A,0.030106
AMY1B,0.052605
AMY1C,0.0091504
AMY2A,-0.11627
AMY2B,-0.38003
AMZ1,0.096426
AMZ2,0.097747
ANAPC1,0.11231
ANAPC10,-0.015727
ANAPC11,0.0095487
ANAPC13,-0.16084
ANAPC15,-0.095286
ANAPC16,0.060886
ANAPC2,0.00029521
ANAPC4,0.13634
ANAPC5,0.2012
ANAPC7,0.1425
ANG,-0.11082
ANGEL1,-0.13474
ANGEL2,0.0011466
ANGPT1,-0.095675
ANGPT2,-0.017077
ANGPT4,0.11078
ANGPTL1,0.33012
ANGPTL2,0.28375
ANGPTL3,-0.038555
ANGPTL4,-0.292
ANGPTL5,0.16738
ANGPTL6,-0.2824
ANGPTL7,0.16307
ANGPTL8,-0.1804
ANHX,0.21707
ANK1,-0.066069
ANK2,-0.16698
ANK3,-0.073005
ANKAR,0.16222
ANKDD1A,-0.035806
ANKDD1B,0.23563
ANKEF1,0.080543
ANKFN1,-0.22681
ANKFY1,0.1186
ANKH,-0.051568
ANKHD1,0.09871
ANKHD1-EIF4EBP3,0.04866
ANKIB1,0.25383
ANKK1,-0.14909
ANKLE1,-0.12954
ANKLE2,0.30832
ANKMY1,0.16646
ANKMY2,-0.085401
ANKRA2,0.1513
ANKRD1,0.13617
ANKRD10,-0.03943
ANKRD11,-0.22836
ANKRD12,0.091994
ANKRD13A,-0.43097
ANKRD13B,-0.42541
ANKRD13C,-0.068956
ANKRD13D,0.26753
ANKRD16,-0.099024
ANKRD17,-0.01367
ANKRD18A,-0.13712
ANKRD18B,-0.071707
ANKRD2,-0.059846
ANKRD20A1,0.14705
ANKRD20A2,0.19531
ANKRD20A3,0.052364
ANKRD20A4,-0.14564
ANKRD22,0.085335
ANKRD23,0.0013398
ANKRD24,-0.087365
ANKRD26,0.045368
ANKRD27,0.33105
ANKRD28,-0.023445
ANKRD30A,-0.01029
ANKRD30B,-0.089285
ANKRD31,0.301
ANKRD33,-0.10197
ANKRD33B,0.076244
ANKRD34A,0.17681
ANKRD34B,-0.11557
ANKRD34C,0.214
ANKRD35,0.07077
ANKRD36,0.096501
ANKRD36B,0.11233
ANKRD37,-0.053481
ANKRD39,-0.072559
ANKRD40,-0.072895
ANKRD42,0.23297
ANKRD44,-0.052656
ANKRD45,0.12524
ANKRD46,-0.21845
ANKRD49,0.12826
ANKRD50,-0.11363
ANKRD52,0.15187
ANKRD53,0.26043
ANKRD54,0.068306
ANKRD55,-0.056866
ANKRD6,-0.052121
ANKRD60,0.16824
ANKRD61,0.0085755
ANKRD62,0.31835
ANKRD63,0.028278
ANKRD65,0.10423
ANKRD66,-0.022589
ANKRD7,0.18975
ANKRD9,0.13002
ANKS1A,0.13509
ANKS1B,0.097086
ANKS3,-0.048443
ANKS4B,-0.1594
ANKS6,-0.20412
ANKUB1,-0.052409
ANKZF1,-0.13711
ANLN,0.10382
ANO1,-0.15527
ANO10,-0.10687
ANO2,-0.041479
ANO3,0.053447
ANO4,0.10127
ANO5,-0.089068
ANO6,0.16106
ANO7,-0.24012
ANO8,-0.039722
ANO9,-0.0091459
ANOS1,-0.22358
ANP32A,0.10387
ANP32B,0.18503
ANP32C,-0.023239
ANP32D,0.10424
ANP32E,-0.13189
ANPEP,0.22501
ANTKMT,-0.044429
ANTXR1,-0.14566
ANTXR2,-0.12201
ANTXRL,0.034869
ANXA1,0.17751
ANXA10,0.12492
ANXA11,0.0034366
ANXA13,0.21544
ANXA2,0.039393
ANXA2R,0.48018
ANXA3,-0.21411
ANXA4,-0.096318
ANXA5,-0.032208
ANXA6,0.30229
ANXA7,-0.093719
ANXA8,0.032539
ANXA8L1,0.056536
ANXA9,0.25432
AOAH,-0.089646
AOC1,0.106615
AOC2,0.34495
AOC3,0.22675
AOPEP,0.049035
AOX1,-0.090683
AP1AR,0.13547
AP1B1,-0.18915
AP1G1,-0.45793
AP1G2,0.10767
AP1M1,0.012987
AP1M2,-0.02613
AP1S1,0.16092
AP1S2,-0.37582
AP1S3,0.074197
AP2A1,0.055994
AP2A2,0.056432
AP2B1,0.070141
AP2M1,-0.039826
AP2S1,-0.12592
AP3B1,-0.008659
AP3B2,0.10622
AP3D1,-0.0565
AP3M1,-0.10859
AP3M2,0.10872
AP3S1,0.30714
AP3S2,0.31344
AP4B1,-0.048454
AP4E1,-0.071637
AP4M1,-0.2084
AP4S1,-0.28825
AP5B1,0.17525
AP5M1,-0.31013
AP5S1,0.10133
AP5Z1,0.031974
APAF1,0.11755
APBA1,-0.092634
APBA2,0.22155
APBA3,0.2418
APBB1,0.11793
APBB1IP,0.10238
APBB2,0.099941
APBB3,0.14686
APC,0.0039131
APCDD1,-0.000341
APCDD1L,-0.2606
APCS,0.066231
APEH,-0.14459
APELA,0.028161
APEX1,-0.126416
APEX2,-0.026602
APH1A,0.37815
APH1B,0.0078226
API5,-0.040608
APIP,0.0038416
APITD1-CORT,0.18144
APLF,0.063456
APLN,0.086894
APLNR,0.21009
APLP1,0.0143
APLP2,0.0626565
APMAP,-0.058214
APOA1,-0.10655
APOA2,0.00029449
APOA4,-0.15813
APOA5,0.20071
APOB,0.14729
APOBEC1,0.20275
APOBEC2,-0.087635
APOBEC3A,-0.37674
APOBEC3B,-0.24902
APOBEC3C,0.022001
APOBEC3D,-0.12344
APOBEC3F,-0.018928
APOBEC3G,-0.059284
APOBEC3H,-0.08184
APOBEC4,-0.25916
APOBR,0.083134
APOC1,0.097552
APOC2,-0.077521
APOC3,-0.049455
APOC4,0.11176
APOD,-0.17285
APOE,0.23873
APOF,0.25151
APOH,-0.16674
APOL1,0.051303
APOL2,-0.41354
APOL3,-0.15612
APOL4,0.1704
APOL5,0.15146
APOL6,0.18305
APOLD1,-0.13452
APOM,-0.11175
APOO,0.029295
APOOL,-0.16541
APP,0.14102
APPBP2,0.052555
APPL1,0.001523
APRT,0.12263
APTX,0.074483
AQP1,0.14687
AQP10,0.018517
AQP11,0.22315
AQP12A,-0.14997
AQP12B,-0.272
AQP2,0.50547
AQP3,0.037972
AQP4,0.21243
AQP5,0.063636
AQP6,-0.034281
AQP7,0.065372
AQP8,-0.12543
AQR,0.11593
ARAF,0.040636
ARAP1,-0.017287
ARAP2,0.18753
ARAP3,0.084254
ARCN1,0.2866
AREG,-0.265775
AREL1,0.15315
ARF1,-0.23465
ARF3,0.086797
ARF4,0.023188
ARF5,0.14334
ARF6,0.22532
ARFGAP2,-0.065897
ARFGAP3,0.27579
ARFGEF1,0.32122
ARFGEF2,-0.059816
ARFGEF3,-0.082593
ARFIP1,-0.26483
ARFIP2,0.15404
ARFRP1,-0.12245
ARG2,-0.065046
ARGFX,0.16323
ARGLU1,0.36354
ARHGAP1,0.24635
ARHGAP11A,0.22951
ARHGAP11B,0.27534
ARHGAP12,0.10054
ARHGAP15,0.28748
ARHGAP17,-0.34691
ARHGAP18,0.2141
ARHGAP19,-0.061723
ARHGAP20,0.1794
ARHGAP21,0.060542
ARHGAP22,-0.05939
ARHGAP23,0.16854
ARHGAP24,0.26116
ARHGAP25,-0.13077
ARHGAP26,-0.13693
ARHGAP27,-0.055129
ARHGAP28,-0.055552
ARHGAP29,-0.1304
ARHGAP30,0.13453
ARHGAP31,0.10635
ARHGAP32,-0.030634
ARHGAP33,-0.0066534
ARHGAP35,0.07423
ARHGAP36,-0.19965
ARHGAP4,0.13413
ARHGAP40,0.35727
ARHGAP42,0.11712
ARHGAP44,-0.12096
ARHGAP45,0.29283
ARHGAP5,0.13244
ARHGAP6,0.032401
ARHGAP8,0.071868
ARHGAP9,-0.45086
ARHGDIA,0.20444
ARHGDIB,-0.1342
ARHGDIG,-0.006419
ARHGEF1,0.12097
ARHGEF10,-0.13133
ARHGEF10L,0.01463
ARHGEF11,-0.01008
ARHGEF12,0.17246
ARHGEF15,0.16998
ARHGEF16,0.28041
ARHGEF17,-0.086574
ARHGEF18,0.14948
ARHGEF19,-0.32707
ARHGEF2,-0.034241
ARHGEF25,-0.029714
ARHGEF26,-0.38355
ARHGEF28,-0.046429
ARHGEF3,-0.018088
ARHGEF33,0.040831
ARHGEF35,0.035415
ARHGEF37,-0.16033
ARHGEF38,-0.0029482
ARHGEF39,0.038618
ARHGEF4,0.046221
ARHGEF40,0.32919
ARHGEF5,0.006427
ARHGEF6,-0.22757
ARHGEF7,-0.0014975
ARHGEF9,0.19706
ARID1A,-0.1212
ARID1B,-0.029045
ARID2,0.055388
ARID3A,-0.056503
ARID3B,0.11975
ARID3C,-0.42664
ARID4A,0.019609
ARID4B,0.036176
ARID5A,0.13301
ARID5B,-0.1474
ARIH1,-0.1815
ARIH2,0.2423
ARIH2OS,0.19101
ARK2C,0.1052
ARK2N,-0.019368
ARL10,0.091432
ARL11,-0.055014
ARL13A,-0.044161
ARL13B,0.044724
ARL14,0.1116
ARL14EP,0.054353
ARL14EPL,-0.0012015
ARL15,-0.13199
ARL16,0.21682
ARL17A,-0.13304
ARL17B,-0.1573
ARL2,0.34481
ARL2BP,-0.054826
ARL3,0.094225
ARL4A,-0.19182
ARL4C,0.095037
ARL4D,-0.024411
ARL5A,0.11477
ARL5B,0.16058
ARL5C,0.1486
ARL6,-0.022433
ARL6IP1,-0.086141
ARL6IP4,-0.25653
ARL6IP5,-0.068451
ARL6IP6,0.016282
ARL8A,-0.0032327
ARL8B,-0.022058
ARL9,0.12563
ARMC1,0.1887
ARMC10,0.14403
ARMC12,-0.071949
ARMC2,-0.11279
ARMC3,0.33654
ARMC5,-0.32824
ARMC6,0.076734
ARMC7,0.32599
ARMC8,0.241
ARMC9,0.13108
ARMCX1,0.54515
ARMCX2,0.055973
ARMCX3,0.028852
ARMCX4,0.037301
ARMCX5,0.079172
ARMCX5-GPRASP2,-0.16797
ARMCX6,-0.063708
ARMH1,0.057287
ARMH2,0.30132
ARMH3,-0.085499
ARMH4,-0.47401
ARMS2,-0.066258
ARMT1,-0.19312
ARNT,0.19121
ARNT2,-0.15679
ARPC1A,-0.03733
ARPC1B,0.1382
ARPC2,-0.14895
ARPC3,0.25909
ARPC4,-0.032794
ARPC4-TTLL3,0.027792
ARPC5,-0.2537
ARPC5L,0.27755
ARPIN,0.21992
ARPP19,-0.12728
ARPP21,0.049904
ARR3,-0.0090882
ARRB1,0.1847
ARRB2,-0.38716
ARRDC1,-0.15796
ARRDC2,-0.057243
ARRDC3,0.12907
ARRDC4,-0.066536
ARRDC5,0.23141
ARSA,-0.30366
ARSB,-0.0069385
ARSD,-0.081705
ARSF,0.056954
ARSG,0.1454
ARSH,0.096665
ARSI,0.33592
ARSJ,0.036779
ARSK,-0.074441
ARSL,-0.17636
ART1,-0.079947
ART3,-0.015683
ART4,-0.1008235
ART5,-0.030499
ARTN,-0.0220995
ARV1,0.30993
ARVCF,0.092133
ARX,0.26824
AS3MT,0.00058134
ASAH1,-0.10033
ASAH2,-0.12967
ASAH2B,-0.13917
ASAP1,0.068677
ASAP2,-0.72761
ASAP3,-0.20499
ASB1,0.15086
ASB10,0.062526
ASB11,0.32459
ASB12,0.10964
ASB13,-0.61177
ASB14,0.017056
ASB15,0.055908
ASB16,-0.22876
ASB17,0.20905
ASB18,0.27562
ASB2,0.11712
ASB3,-0.18607
ASB4,-0.072378
ASB5,-0.10985
ASB6,-0.11032
ASB7,0.043106
ASB8,0.028098
ASB9,-0.15979
ASCC1,-0.25627
ASCC2,0.14904
ASCC3,-0.32064
ASCL1,-0.063228
ASCL2,-0.0096406
ASCL3,-0.24412
ASCL4,0.11045
ASCL5,0.1034
ASF1A,0.31223
ASF1B,0.076518
ASGR1,0.046768
ASGR2,-0.19957
ASH1L,-0.091394
ASH2L,-0.061701
ASIC1,-0.21199
ASIC2,0.001245
ASIC3,-0.25745
ASIC4,0.09562
ASIC5,0.035152
ASL,-0.17684
ASMT,-0.064914
ASMTL,0.043245
ASNS,0.011366
ASNSD1,0.18009
ASPA,-0.22456
ASPDH,0.26171
ASPG,-0.039701
ASPH,0.09803
ASPHD1,0.20679
ASPHD2,0.29
ASPM,0.23526
ASPN,0.011824
ASPRV1,-0.1065
ASPSCR1,0.16047
ASRGL1,0.04098
ASS1,0.19547
ASTE1,-0.037881
ASTL,0.10306
ASTN1,-0.13629
ASTN2,-0.21449
ASXL1,0.021384
ASXL2,-0.12324
ASXL3,-0.16861
ASZ1,0.057286
ATAD1,-0.31311
ATAD2,0.051028
ATAD2B,0.048802
ATAD3A,-0.008564
ATAD3B,-0.31315
ATAD3C,-0.34478
ATAD5,-0.025934
ATAT1,0.31263
ATCAY,-0.071205
ATE1,-0.12547
ATF3,0.050501
ATF4,0.12736
ATF5,-0.67573
ATF6,0.42358
ATF6B,0.079521
ATF7,0.12591
ATF7IP,-0.048154
ATF7IP2,-0.018008
ATG10,-0.09162
ATG101,-0.065446
ATG12,-0.093474
ATG13,-0.15617
ATG14,0.0012191
ATG16L1,-0.079111
ATG16L2,-0.11963
ATG2A,0.097388
ATG2B,-0.097967
ATG3,0.24083
ATG4A,-0.23219
ATG4B,0.09266
ATG4C,0.030219
ATG4D,-0.035707
ATG5,0.062247
ATG7,0.049442
ATG9A,0.068372
ATG9B,-0.076386
ATIC,0.3379
ATL1,-0.12704
ATL2,-0.16675
ATL3,-0.17246
ATM,0.00099758
ATMIN,0.13221
ATN1,0.13106
ATOH1,0.12806
ATOH7,-0.012616
