Gene,Score
ACSM6,-1.836154632
ACSS1,-1.346473647
ACSS2,-0.416510994
ACSS3,-0.338580069
ACTA1,-1.577684531
ACTA2,-0.110113767
ACTB,-0.093546774
ACTBL2,-0.434556115
ACTC1,-1.11684413
ACTG1,-2.829744738
ACTG2,-0.088016265
ACTL10,-0.610870077
ACTL6A,-0.000234225
ACTL6B,-2.418100037
ACTL7A,-0.132148308
ACTL7B,-0.335129421
ACTL8,-1.065935527
ACTL9,-0.071183459
ACTN1,-1.961992933
ACTN2,-1.359792093
ACTN4,-3.015036203
ACTR10,-0.31439985
ACTR1A,-1.991288788
ACTR1B,-2.676961105
ACTR2,-1.365176751
ACTR3,-0.145101242
ACTR3B,-1.308576201
ACTR3C,-0.232110599
ACTR5,-0.642838466
ACTR6,-1.075843728
ACTR8,-1.863482014
ACTRT1,-1.222362657
ACTRT2,-1.970846098
ACTRT3,-1.468660865
ACVR1,-0.009035933
ACVR1B,-2.754744091
ACVR1C,-0.296440543
ACVR2A,-0.516793327
ACVR2B,-0.611404988
ACVRL1,-1.083416049
ACY1,-0.044866924
ACY3,-1.179252892
ACYP1,-0.197258325
ACYP2,-0.790252233
ADA,-1.223587334
ADAD1,-0.526136599
ADAD2,-0.951058991
ADAL,-0.212376988
ADAM10,-1.287015553
ADAM11,-0.36984836
ADAM12,-1.216897466
ADAM15,-0.533701777
ADAM17,-1.060602276
ADAM18,-0.191443924
ADAM19,-0.514187956
ADAM2,-1.62979425
ADAM20,-0.257217311
ADAM21,-0.48772332
ADAM22,-0.739849166
ADAM23,-0.225094636
ADAM28,-0.881120452
ADAM29,-1.390037725
ADAM30,-0.52918237
ADAM32,-0.104069261
ADAM33,-1.587653225
ADAM7,-0.173440711
ADAM8,-0.303090075
ADAM9,-1.418777369
ADAMDEC1,-0.248172787
ADAMTS1,-2.10473641
ADAMTS10,-1.696931772
ADAMTS12,-0.185772613
ADAMTS13,-1.724561609
ADAMTS14,-1.019045847
ADAMTS15,-1.717646194
ADAMTS16,-1.344675876
ADAMTS17,-2.159459616
ADAMTS18,-0.419850497
ADAMTS19,-0.332094756
ADAMTS2,-0.903810552
ADAMTS20,-1.11649518
ADAMTS3,-1.156466269
ADAMTS4,-1.120537638
ADAMTS5,-2.039319033
ADAMTS6,-1.185364715
ADAMTS7,-0.643633475
ADAMTS8,-0.809704753
ADAMTS9,-0.453734816
ADAMTSL1,-0.467747222
ADAMTSL2,-0.34671173
ADAMTSL3,-1.229774192
ADAMTSL4,-0.352021057
ADAMTSL5,-0.638580975
ADAP1,-0.583369723
ADAP2,-1.87937449
ADAR,-2.071381836
ADARB1,-0.327072612
ADARB2,-0.417703288
ADAT1,-0.871321076
ADAT2,-0.338671297
ADAT3,-0.774593081
ADCK1,-1.342763049
ADCK2,-2.038048686
ADCK3,-0.42635073
ADCK4,-0.27405823
ADCK5,-1.03022908
ADCY1,-0.292955658
ADCY10,-1.626978975
ADCY2,-1.035318477
ADCY3,-1.822494569
ADCY4,-0.871212915
ADCY5,-1.228241275
ADCY6,-0.019976195
ADCY7,-1.046469874
ADCY8,-0.347578386
ADCY9,-3.511325291
ADCYAP1,-1.556662077
ADCYAP1R1,-0.592364939
ADD1,-0.197848319
ADD2,-0.389132304
ADD3,-0.36877667
ADGB,-1.211209452
ADGRA1,-0.312770921
ADGRA2,-1.743626173
ADGRA3,-0.132753435
ADGRB1,-0.755473181
ADGRB2,-0.682196751
ADGRB3,-1.126542662
ADGRD1,-0.647801623
ADGRD2,-0.52582088
ADGRE1,-1.647610753
ADGRE2,-0.322802462
ADGRE3,-0.666765369
ADGRE5,-0.819696482
ADGRF1,-0.532120519
ADGRF2,-1.211890364
ADGRF3,-1.186664057
ADGRF4,-0.724799366
ADGRF5,-0.809684035
ADGRG1,-0.068925169
ADGRG2,-0.313498617
ADGRG3,-0.144694926
ADGRG4,-0.639499395
ADGRG5,-0.560154015
ADGRG6,-0.582434163
ADGRG7,-0.461839434
ADGRL1,-0.260601548
ADGRL2,-1.299856899
ADGRL3,-0.154520414
ADGRL4,-1.655902374
ADGRV1,-0.724755895
ADH1A,-0.697749546
ADH1B,-1.482858322
ADH4,-0.458540615
ADH5,-0.404260224
ADH6,-0.192952438
ADH7,-0.448138805
ADHFE1,-0.787410504
ADI1,-1.576430247
ADIG,-0.74727186
ADIPOQ,-1.14361444
ADIPOR1,-1.825806678
ADIPOR2,-0.737305865
ADIRF,-0.461583338
ADK,-0.729240043
ADM,-0.454300157
ADM2,-0.937805073
ADM5,-0.691009994
ADNP,-1.780616971
ADNP2,-0.887221971
ADO,-0.873649172
ADORA1,-1.047958565
ADORA2A,-1.924307886
ADORA2B,-0.303375932
ADORA3,-0.481669644
ADPGK,-0.82619238
ADPRH,-0.26076
ADPRHL1,-0.52073585
ADPRHL2,-0.494474017
ADPRM,-0.816590537
ADRA1A,-0.684542049
ADRA1B,-0.732630334
ADRA1D,-2.212338469
ADRA2A,-1.285690113
ADRA2B,-0.449956719
ADRA2C,-0.397949519
ADRB1,-1.676370261
ADRB2,-0.615529849
ADRB3,-1.264240151
ADRBK1,-0.605835867
ADRBK2,-1.05603515
ADRM1,-0.109196274
ADSL,-1.780853913
ADSS,-0.118080895
ADSSL1,-1.206086798
ADTRP,-0.406151369
AEBP1,-0.876841262
AEBP2,-0.528202872
AEN,-0.857346732
AES,-0.595634117
AFAP1,-0.254740717
AFAP1L1,-1.009502238
AFAP1L2,-0.825485815
AFF1,-1.121420469
AFF2,-0.566612065
AFF3,-1.639290464
AFF4,-2.699188841
AFG3L2,-0.766287818
AFM,-0.281804418
AFMID,-0.520094138
AFP,-0.540996413
AFTPH,-0.346902298
AGA,-0.37968456
AGAP1,-1.241060204
AGAP2,-0.48202051
AGAP3,-0.272116071
AGAP4,-0.906858989
AGAP5,-1.944209783
AGAP6,-2.390432804
AGAP7P,-0.089004104
AGAP9,-0.840844197
AGBL1,-1.389450814
AGBL2,-0.367107075
AGBL3,-0.26628458
AGBL4,-0.379294047
AGBL5,-0.437919738
AGER,-0.981908235
AGFG1,-0.688609654
AGFG2,-0.979700631
AGGF1,-0.444473739
AGK,-0.336026685
AGL,-0.436664497
AGMAT,-0.617600851
AGMO,-0.657115239
AGO1,-0.400729651
AGO2,-1.575462352
AGO3,-0.747171623
AGO4,-0.203011185
AGPAT1,-1.836127151
AGPAT2,-2.091597639
AGPAT3,-1.174466806
AGPAT4,-2.571797973
AGPAT5,-1.360206004
AGPAT6,-0.26587908
AGPAT9,-1.074036571
AGPS,-0.307718501
AGR2,-0.465441866
AGR3,-1.319971867
AGRN,-0.7266856
AGRP,-0.269772441
AGT,-0.559359469
AGTPBP1,-0.401837675
AGTR1,-1.51556147
AGTR2,-0.699816361
AGTRAP,-1.070493784
AGXT,-2.320869343
AGXT2,-0.030496755
AHCTF1,-1.761530914
AHCY,-0.382391785
AHCYL1,-0.091852957
AHCYL2,-0.437495157
AHDC1,-0.449791638
AHI1,-0.259543396
AHNAK,-0.68756768
AHNAK2,-0.31374493
AHR,-0.788803518
AHRR,-4.13177272
AHSA1,-1.067198623
AHSA2,-0.332766284
AHSG,-1.27917958
AHSP,-0.536044227
AICDA,-0.807101173
AIDA,-0.125712935
AIF1,-0.716695719
AIF1L,-0.762862387
AIFM1,-1.136864897
AIFM2,-1.099265974
AIFM3,-0.761014383
AIG1,-0.805030308
AIM1,-2.034930572
AIM1L,-0.544572224
AIM2,-1.099872103
AIMP1,-0.425799593
AIMP2,-0.442227379
AIP,-0.744923603
AIPL1,-0.726931538
AIRE,-0.870268592
AJAP1,-0.714576592
AJUBA,-0.415036363
AK1,-0.003257989
AK2,-0.253776178
AK3,-0.34837545
AK4,-0.624447283
AK5,-1.752252155
AK6,-1.642692638
AK7,-1.376470323
AK8,-0.265370929
AK9,-0.320385234
AKAP1,-0.664857485
AKAP10,-0.54460011
AKAP11,-0.497505423
AKAP12,-1.119275542
AKAP13,-1.002807322
AKAP14,-0.599807388
AKAP17A,-1.43127538
AKAP2,-0.318711726
AKAP3,-0.152150439
AKAP4,-0.291278113
AKAP5,-1.014057226
AKAP6,-0.466936109
AKAP7,-0.701272749
AKAP8,-0.255652935
AKAP8L,-0.894805788
AKAP9,-2.312264131
AKIP1,-0.426607266
AKIRIN1,-0.416511278
AKIRIN2,-0.71894241
AKNA,-0.172857288
AKNAD1,-0.449474734
AKR1A1,-0.993071606
AKR1B1,-0.441911576
AKR1B10,-1.00215548
AKR1B15,-0.644598967
AKR1C1,-0.183707033
AKR1C2,-0.531458894
AKR1C3,-0.922088037
AKR1C4,-1.195400012
AKR1D1,-0.233310396
AKR1E2,-1.556722088
AKR7A2,-2.552159798
AKR7A3,-0.303377954
AKT1,-0.524806168
AKT1S1,-0.210230216
AKT2,-0.156216739
AKT3,-0.910644291
AKTIP,-1.070273229
ALAD,-0.50248847
ALAS1,-0.552607633
ALAS2,-0.303755049
ALB,-0.279396601
ALCAM,-1.895777317
ALDH16A1,-0.645951802
ALDH18A1,-0.849768749
ALDH1A1,-1.744633163
ALDH1A2,-1.308332432
ALDH1A3,-0.192847893
ALDH1B1,-0.961415895
ALDH1L1,-0.834072271
ALDH1L2,-2.686158106
ALDH2,-0.352477484
ALDH3A1,-2.16388242
ALDH3A2,-0.458104627
ALDH3B1,-0.671273027
ALDH3B2,-0.363315517
ALDH4A1,-2.600718507
ALDH5A1,-0.078747545
ALDH6A1,-1.04527873
ALDH7A1,-0.362863619
ALDH8A1,-1.055621103
ALDH9A1,-1.48718674
ALDOA,-0.553266211
ALDOB,-1.136075963
ALDOC,-1.375790842
ALG1,-1.178185675
ALG10,-0.24031041
ALG10B,-0.362350025
ALG11,-0.639059252
ALG12,-0.168559998
ALG13,-0.922603662
ALG14,-0.297326471
ALG1L,-0.352406695
ALG2,-1.286198248
ALG3,-0.560888548
ALG5,-0.535264912
ALG6,-0.283031435
ALG8,-0.067786665
ALG9,-0.236754848
ALK,-1.508609698
ALKBH1,-0.744357192
ALKBH2,-1.598990882
ALKBH3,-0.686997505
ALKBH4,-0.248081982
ALKBH5,-1.226175275
ALKBH6,-0.796016456
ALKBH7,-0.89053907
ALKBH8,-0.914065995
ALLC,-0.570464025
ALMS1,-0.7456204
ALOX12,-0.565599063
ALOX12B,-0.287371914
ALOX15,-0.268644342
ALOX15B,-0.147168975
ALOX5,-1.527988215
ALOX5AP,-1.076243932
ALOXE3,-1.538462538
ALPI,-2.035835961
ALPK1,-1.077522266
ALPK2,-0.196345654
ALPK3,-0.633101017
ALPL,-1.206165233
ALPP,-0.326600507
ALPPL2,-0.957808276
ALS2,-0.580920828
ALS2CL,-0.287809858
ALS2CR11,-1.12677876
ALS2CR12,-0.517256545
ALX1,-0.329456314
ALX3,-0.690903934
ALX4,-0.218274226
ALYREF,-1.029069874
AMACR,-2.001973503
AMBN,-0.564105275
AMBP,-0.328447423
AMBRA1,-9.162653067
AMD1,-3.44395867
AMDHD1,-0.816376656
AMDHD2,-0.396824535
AMELX,-0.772345581
AMELY,-0.739072696
AMER1,-0.476519752
AMER2,-1.27907727
AMER3,-0.605190433
AMFR,-0.538028945
AMH,-0.753340212
AMHR2,-0.775230293
AMICA1,-0.438166001
AMIGO1,-1.862840096
AMIGO2,-1.18505664
AMIGO3,-1.614469402
AMMECR1,-0.537563342
AMMECR1L,-0.442772964
AMN,-1.695794422
AMN1,-0.478912881
AMOT,-0.777564087
AMOTL1,-0.641513241
AMOTL2,-0.597616552
AMPD1,-1.399324119
AMPD2,-0.644094772
AMPD3,-0.946273615
AMPH,-0.489025551
AMT,-1.226467504
AMTN,-0.40671621
AMY1A,-0.467650813
AMY1B,-0.467650813
AMY1C,-0.467650813
AMY2A,-0.204884073
AMY2B,-0.510524545
AMZ1,-0.557949108
AMZ2,-0.602340402
ANAPC1,-1.188763226
ANAPC10,-1.629907186
ANAPC11,-0.746727959
ANAPC13,-1.52344855
ANAPC15,-1.850970985
ANAPC16,-0.773875997
ANAPC2,-0.339333273
ANAPC4,-1.017369245
ANAPC5,-1.226202445
ANAPC7,-0.192390419
ANG,-1.121696519
ANGEL1,-0.18704241
ANGEL2,-1.418899265
ANGPT1,-1.474221107
ANGPT2,-0.657889157
ANGPT4,-0.24219445
ANGPTL1,-1.833048285
ANGPTL2,-0.543311304
ANGPTL3,-0.615329811
ANGPTL4,-0.804895793
ANGPTL5,-0.404545003
ANGPTL6,-1.042726899
ANGPTL7,-2.14556968
ANHX,-1.271636804
ANK1,-0.522671975
ANK2,-0.252904181
ANK3,-0.126952192
ANKAR,-0.18796785
ANKDD1A,-1.491266429
ANKDD1B,-1.422745136
ANKEF1,-0.66810514
ANKFN1,-2.450378777
ANKFY1,-0.323443345
ANKH,-0.419606182
ANKHD1,-0.716403794
ANKHD1-EIF4EBP3,-0.457334341
ANKIB1,-2.748459285
ANKK1,-0.404121795
ANKLE1,-2.115193906
ANKLE2,-0.133567546
ANKMY1,-0.681970052
ANKMY2,-0.777405796
ANKRA2,-0.591281514
ANKRD1,-0.499421491
ANKRD10,-1.084284812
ANKRD11,-3.621777552
ANKRD12,-0.544274062
ANKRD13A,-1.256014999
ANKRD13B,-2.076830325
ANKRD13C,-1.207300707
ANKRD13D,-0.240969589
ANKRD16,-1.014752652
ANKRD17,-0.492526171
ANKRD18A,-0.419180016
ANKRD2,-1.204952766
ANKRD20A1,-0.749270831
ANKRD20A2,-1.420085529
ANKRD20A3,-1.215853887
ANKRD20A4,-2.489636592
ANKRD22,-0.157539928
ANKRD23,-0.399272121
ANKRD24,-0.044536541
ANKRD26,-0.516676633
ANKRD27,-0.82887669
ANKRD28,-0.307071311
ANKRD29,-0.16619056
ANKRD30A,-0.349786842
ANKRD30B,-1.163407687
ANKRD31,-0.736711737
ANKRD32,-0.163714133
ANKRD33,-0.251236981
ANKRD33B,-0.334501313
ANKRD34A,-1.381771745
ANKRD34B,-0.186818903
ANKRD34C,-0.032992195
ANKRD35,-2.17945337
ANKRD36,-0.93641731
ANKRD36C,-0.263029834
ANKRD37,-1.516455492
ANKRD39,-1.787911698
ANKRD40,-1.899448477
ANKRD42,-0.717407396
ANKRD44,-0.247931608
ANKRD45,-1.19347692
ANKRD46,-0.337280544
ANKRD49,-1.99004449
ANKRD50,-1.087372457
ANKRD52,-0.7064548
ANKRD53,-0.770301395
ANKRD54,-0.699177128
ANKRD55,-0.084418982
ANKRD6,-0.548672314
ANKRD60,-0.450512048
ANKRD62,-0.844165633
ANKRD63,-0.514476836
ANKRD65,-0.602558694
ANKRD66,-0.751393075
ANKRD7,-0.459204591
ANKRD9,-1.541413514
ANKS1A,-0.751108093
ANKS1B,-0.246860339
ANKS3,-1.767324782
ANKS4B,-0.672884536
ANKS6,-1.151713011
ANKUB1,-0.467118731
ANKZF1,-1.091552416
ANLN,-0.960388227
ANO1,-1.023421658
ANO10,-1.349536276
ANO2,-0.640838087
ANO3,-0.469675969
ANO4,-1.328016183
ANO5,-1.192740376
ANO6,-0.823261453
ANO7,-0.880097867
ANO8,-1.664068563
ANO9,-0.174981907
ANOS1,-0.381555665
ANP32A,-0.158416995
ANP32B,-0.159147736
ANP32D,-0.302543192
ANP32E,-0.489541565
ANPEP,-0.662548983
ANTXR1,-0.616177475
ANTXR2,-1.107820609
ANXA1,-0.273617542
ANXA10,-0.931373886
ANXA11,-0.127655188
ANXA13,-1.159011375
ANXA2,-0.848558876
ANXA2R,-0.562701074
ANXA3,-0.917941026
ANXA4,-0.847806764
ANXA5,-0.980309935
ANXA6,-1.927365389
ANXA7,-0.639384975
ANXA8,-0.447907713
ANXA8L1,-0.559888086
ANXA9,-1.064628345
AOAH,-0.934500173
AOC1,-0.7540165
AOC2,-1.621571919
AOC3,-1.523485522
AOX1,-2.340316857
AP1AR,-0.484908725
AP1B1,-0.543057428
AP1G1,-0.68813647
AP1G2,-0.232987518
AP1M1,-1.350888389
AP1M2,-0.473885838
AP1S1,-0.798457373
AP1S2,-0.651543543
AP1S3,-0.641607025
AP2A1,-0.685330726
AP2A2,-0.485250028
AP2B1,-0.439214772
AP2M1,-1.42817764
AP2S1,-2.428656788
AP3B1,-2.352309291
AP3B2,-3.659611501
AP3D1,-0.137083417
AP3M1,-1.389137891
AP3M2,-1.470253261
AP3S1,-0.933347931
AP3S2,-0.665881562
AP4B1,-1.636004351
AP4E1,-0.53179137
AP4M1,-0.622680394
AP4S1,-0.904546193
AP5B1,-0.647311021
AP5M1,-0.501455539
AP5S1,-0.208083248
AP5Z1,-0.470810254
APAF1,-1.467141892
APBA1,-1.424324142
APBA2,-0.802146354
APBA3,-1.372580015
APBB1,-2.386025297
APBB1IP,-0.211908354
APBB2,-1.849517845
APBB3,-0.704947635
APC,-0.825985552
APC2,-0.202189385
APCDD1,-0.347563649
APCDD1L,-0.394126949
APCS,-0.849437328
APEH,-0.749343317
APEX1,-0.803498906
APEX2,-0.985638624
APH1A,-0.385506741
APH1B,-0.624844276
API5,-0.053803777
APIP,-0.227858224
APITD1,-1.090022204
APITD1-CORT,-0.415661619
APLF,-0.859177348
APLN,-0.718049208
APLNR,-0.523135134
APLP1,-0.679514069
APLP2,-1.115005191
APMAP,-0.763626513
APOA1,-0.150789246
APOA1BP,-0.231614789
APOA2,-0.204778011
APOA4,-0.163590885
APOA5,-0.44342919
APOB,-1.588060498
APOBEC1,-0.268829889
APOBEC2,-0.458973109
APOBEC3A,-0.49768214
APOBEC3B,-0.392601748
APOBEC3C,-0.690720243
APOBEC3D,-0.929894868
APOBEC3F,-0.551859388
APOBEC3G,-1.027452593
APOBEC3H,-1.530640742
APOBEC4,-0.563232578
APOBR,-0.454493014
APOC1,-0.954073387
APOC2,-1.093429711
APOC3,-0.990428525
APOC4,-0.530206168
APOD,-0.946126349
APOE,-1.198828154
APOF,-0.418309491
APOH,-0.532234793
APOL1,-0.530247742
APOL2,-0.830904639
APOL3,-1.841883456
APOL4,-0.311743274
APOL5,-0.299491297
APOL6,-0.262551105
APOLD1,-0.503256109
APOM,-0.557543951
APOO,-0.682911552
APOOL,-0.876922579
APOPT1,-0.502535905
APP,-0.616636147
APPBP2,-2.102235145
APPL1,-0.273286013
APPL2,-1.814488661
APRT,-1.825389466
APTX,-0.790656698
AQP1,-0.712658242
AQP10,-0.384047731
AQP11,-0.484210444
AQP12B,-1.947578347
AQP2,-0.556892255
AQP3,-2.720648818
AQP4,-1.019236669
AQP5,-0.274005088
AQP6,-0.711602457
AQP7,-0.727606999
AQP8,-0.430293166
AQP9,-0.420114367
AQR,-1.799490236
AR,-0.923672869
ARAF,-1.616420839
ARAP1,-0.447815555
ARAP2,-0.436493722
ARAP3,-0.576880305
ARC,-0.460382689
ARCN1,-1.165812279
AREG,-0.873293911
AREL1,-0.562646948
ARF1,-0.952998297
ARF3,-1.25295565
ARF4,-0.728734152
ARF5,-0.067484353
ARF6,-2.051347491
ARFGAP1,-0.516047614
ARFGAP2,-0.496219655
ARFGAP3,-0.235771699
ARFGEF1,-0.416148423
ARFGEF2,-1.440898316
ARFGEF3,-1.432086473
ARFIP1,-1.184359507
ARFIP2,-0.445732999
ARFRP1,-1.440062594
ARG1,-0.051452192
ARG2,-0.811779515
ARGFX,-1.497676379
ARGLU1,-1.172575384
ARHGAP1,-0.866207947
ARHGAP10,-0.295992256
ARHGAP11A,-0.176988379
ARHGAP11B,-0.254618037
ARHGAP12,-0.485497407
ARHGAP15,-0.433823131
ARHGAP17,-1.609396503
ARHGAP18,-0.775942311
ARHGAP19,-0.54625721
ARHGAP20,-1.217661671
ARHGAP21,-2.069776672
ARHGAP22,-0.422881776
ARHGAP23,-0.527868497
ARHGAP24,-0.478275887
ARHGAP25,-1.493252699
ARHGAP26,-0.375240063
ARHGAP27,-1.276029485
ARHGAP28,-0.207851271
ARHGAP29,-0.982532766
ARHGAP30,-0.167834524
ARHGAP31,-0.134321741
ARHGAP32,-0.192851271
ARHGAP33,-1.276694622
ARHGAP35,-0.123738385
ARHGAP36,-0.335593689
ARHGAP39,-0.392055168
ARHGAP4,-1.607861557
ARHGAP40,-0.927165083
ARHGAP44,-0.613629921
ARHGAP5,-1.87534482
ARHGAP6,-1.113357875
ARHGAP8,-0.354788419
ARHGAP9,-0.218716713
ARHGDIA,-2.853445546
ARHGDIB,-0.915640996
ARHGDIG,-0.220050731
ARHGEF1,-0.404686534
ARHGEF10,-1.44169609
ARHGEF10L,-1.542534472
ARHGEF11,-1.815633456
ARHGEF12,-0.449556678
ARHGEF15,-0.44477748
ARHGEF16,-0.584747314
ARHGEF17,-1.996654631
ARHGEF18,-0.194566909
ARHGEF19,-0.42081153
ARHGEF2,-1.993484151
ARHGEF25,-3.473770659
ARHGEF26,-1.243093593
ARHGEF28,-0.205468719
ARHGEF3,-1.166275598
ARHGEF33,-0.447077998
ARHGEF35,-0.531641773
ARHGEF37,-0.938357454
ARHGEF38,-0.900054322
ARHGEF39,-0.409325549
ARHGEF4,-0.644014935
ARHGEF40,-0.622368424
ARHGEF5,-1.037728333
ARHGEF6,-0.779959968
ARHGEF7,-0.869752465
ARHGEF9,-0.105644172
ARID1A,-1.20602678
ARID1B,-0.406012801
ARID2,-0.728724523
ARID3A,-3.122133147
ARID3B,-0.966930188
ARID3C,-1.064329013
ARID4A,-2.301105383
ARID4B,-2.000413088
ARID5A,-0.699106434
ARID5B,-2.565431767
ARIH1,-0.70555615
ARIH2,-1.448377336
ARIH2OS,-0.235194315
ARL1,-0.501097694
ARL10,-0.336514689
ARL11,-0.467246426
ARL13A,-1.806831817
ARL13B,-0.69126676
ARL14,-1.432082234
ARL14EP,-1.42952524
ARL14EPL,-0.841783023
ARL15,-0.757173893
ARL16,-0.172463705
ARL17A,-0.393666674
ARL17B,-0.393666674
ARL2,-0.785304258
ARL2BP,-0.452345928
ARL3,-1.147259278
ARL4A,-1.005873756
ARL4C,-1.101124249
ARL4D,-0.185211444
ARL5A,-0.586664723
ARL5B,-0.233304952
ARL5C,-1.202356637
ARL6,-1.238372699
ARL6IP1,-0.606987677
ARL6IP4,-0.383464419
ARL6IP5,-1.260266392
ARL6IP6,-0.454873588
ARL8A,-0.870680701
ARL8B,-2.119354017
ARL9,-0.542807776
ARMC1,-2.230428646
ARMC10,-2.139106289
ARMC12,-0.825595406
ARMC2,-0.657714508
ARMC3,-1.494931257
ARMC4,-0.380251213
ARMC5,-2.216742222
ARMC6,-0.529389178
ARMC7,-0.757820181
ARMC8,-3.728856248
ARMC9,-0.354064559
ARMCX1,-0.470820023
ARMCX2,-0.217900514
ARMCX3,-1.479928967
ARMCX4,-0.576439672
ARMCX5,-0.190165309
ARMCX5-GPRASP2,-0.543943066
ARMCX6,-0.705936038
ARMS2,-0.33336042
ARNT,-0.375860454
ARNT2,-0.41248599
ARNTL,-0.364901263
ARNTL2,-0.446571975
ARPC1A,-1.887446516
ARPC1B,-0.357973202
ARPC2,-0.60496376
ARPC3,-0.57456364
ARPC4,-0.547195036
